AccessType,DeveloperName,Id,Name,Type
Public,Service_Dashboards,00l5g000001FpYFAA0,Service Dashboards,Dashboard
Hidden,Sales_and_Marketing_Dashboards,00l5g000001FpYKAA0,Sales and Marketing Dashboards,Dashboard
Hidden,QUTDashboard,00l8q000000M6fFAAS,QUT Dashboard,Dashboard
Hidden,Trailhead_Dashboards,00l8q000000M7ekAAC,Trailhead,Dashboard
Hidden,CRM_180925_HVS_Sample_Dashboard_Folder,00l8q000000MBefAAG,Sales Engagement Sample Dashboards,Dashboard
Hidden,IndustryEnagementDashboard,00lOm000000CClOIAW,Industry Enagement Dashboard,Dashboard
Hidden,prm_channel_dashboard_folder,00lOm000000oFFEIA2,PRM Dashboards,Dashboard
Hidden,DomesticFutureStudentDashboards,00lOm0000014qtxIAA,Domestic Future Student Dashboards,Dashboard
Hidden,DomesticFutureStudentTeamLeaderDashboards,00lOm0000014qtyIAA,Domestic FS Team Leader Dashboards,Dashboard
Hidden,InternationalFutureStudentDashboards,00lOm0000014qtzIAA,International Future Student Dashboards,Dashboard
Hidden,InternationalFutureStudentTeamLeaderDashboards,00lOm0000014qu0IAA,International FS Team Leader Dashboards,Dashboard
Hidden,prm_ch_dashboards_sub_folder,00lOm000002b6euIAA,PRM,Dashboard
Hidden,prm_winter24_dashboardsSPLIT1707593545772,00lOm000002b6evIAA,PRM Dashboards Winter ’24,Dashboard
Hidden,prm_spring24_dashboardsSPLIT1707593545772,00lOm000002b6ewIAA,PRM Dashboards Spring ’24,Dashboard
Hidden,Data,00lOm0000035T1GIAU,Data,Dashboard
Hidden,CRM_180925_Cadences_From_Salesforce,00l8q000000MBeiAAG,Cadences from Salesforce,ActionCadence
Hidden,QUTAutomatedcadences,00lOm000000CJIDIA4,QUT Automated cadences,ActionCadence
Hidden,QUTManualcadences,00lOm000000CJIEIA4,QUT Manual cadences,ActionCadence
Hidden,QUT_International_Automated_Cadences,00lOm0000014sE9IAI,QUT International Automated Cadences,ActionCadence
Hidden,QUT_International_Manual_Cadences,00lOm0000014sEAIAY,QUT International Manual Cadences,ActionCadence
Hidden,QUT_Domestic_Automated_Cadences,00lOm0000014sEBIAY,QUT Domestic Automated Cadences,ActionCadence
Hidden,QUT_Domestic_Manual_Cadences,00lOm0000014sECIAY,QUT Domestic Manual Cadences,ActionCadence
Public,SharedDocuments,00l5g000001FpYLAA0,Shared Documents,Document
Public,DocuSign,00l8q000000M6VHAA0,DocuSign,Document
Public,Trailhead,00l8q000000M7elAAC,Trailhead,Document
Public,ExactTargetDocuments,00l8q000000M7lJAAS,Marketing Cloud Documents,Document
Public,Experiences_Shared_Document_Folder,00l8q000000M7lvAAC,Experiences Shared Document Folder,Document
Public,Experiences_Shared_Document_Folder1,00l8q000000M7lwAAC,Experiences Shared Document Folder,Document
Public,Experiences_Shared_Document_Folder2,00l8q000000M7lxAAC,Experiences Shared Document Folder,Document
Hidden,SalesTools,00l5g000001FpYMAA0,Sales Tools,Document
Public,ExactTarget,00l8q000000M7lKAAS,Marketing Cloud,Email
Hidden,All,00l8q000000M8u5AAC,All,Email
Hidden,SharedApp,00l8q000000MBenAAG,Shared App,Insights
Hidden,WAVE_PUBLIC_DATAFLOWS,00l8q000000MBeoAAG,WavePublicDataflowsLabel,Insights
Hidden,HVS_Performance,00l8q000000MBepAAG,Sales Engagement Performance,Insights
Hidden,Live_Chat_Conversation_Folder,00l8q000000M9OiAAK,Live Chat Conversation Folder,QuickText
Public,Service_Dashboards_Reports,00l5g000001FpYGAA0,Service Dashboards Reports,Report
Public,Sales_and_Marketing_Reports,00l5g000001FpYHAA0,Sales and Marketing Reports,Report
Public,,00l5g000001FpYNAA0,,Report
Public,,00l5g000001FpYOAA0,,Report
Public,,00l5g000001FpYPAA0,,Report
Public,,00l5g000001FpYQAA0,,Report
Public,,00l5g000001FpYRAA0,,Report
Public,,00l5g000001FpYSAA0,,Report
Public,,00l5g000001FpYTAA0,,Report
Public,,00l5g000001FpYUAA0,,Report
Public,,00l5g000001FpYVAA0,,Report
Public,,00l5g000001FpYWAA0,,Report
Public,,00l5g000001FpYXAA0,,Report
Public,,00l5g000001FpYYAA0,,Report
Public,,00l5g000001FpYZAA0,,Report
Public,,00l5g000001FpYaAAK,,Report
Public,,00l5g000001FpYbAAK,,Report
Hidden,DashboardReportsAdoption,00l5g000001FpYIAA0,Dashboard Reports - Adoption,Report
Hidden,Sales_Marketing_Reports,00l5g000001FpYJAA0,Sales & Marketing Dashboards Reports,Report
Hidden,EinsteinBotReports,00l8q000000M6bhAAC,Einstein Bot Reports,Report
Hidden,QUTeXLeadReports,00l8q000000M6f5AAC,QUTeX Lead Reports,Report
Hidden,QUTeXOpportunityReports,00l8q000000M6fAAAS,QUTeX Opportunity Report,Report
Hidden,Trailhead_Reports,00l8q000000M7ejAAC,Trailhead,Report
Hidden,ExactTarget_Admin,00l8q000000M7lGAAS,Marketing Cloud Admin,Report
Hidden,ExactTarget_Subscriber_Reports,00l8q000000M7lHAAS,Subscriber Reports,Report
Hidden,ExactTarget_Tracking_Reports,00l8q000000M7lIAAS,Tracking Reports,Report
Hidden,sfdc_b2bCommerce_f_Order,00l8q000000M7luAAC,Commerce Reports,Report
Hidden,EinsteinBotReports_v2,00l8q000000M831AAC,Einstein Bot Reports Summer ’22,Report
Hidden,QUTeX_OPE_Reports,00l8q000000M85BAAS,QUTeX OPE Reports,Report
Hidden,DigitalMarketing,00l8q000000M89pAAC,Digital Marketing,Report
Hidden,EBotR_v3,00l8q000000M8plAAC,Einstein Bot Reports Winter '23,Report
Hidden,SystemAdminReports,00l8q000000M9AkAAK,System Admin Reports,Report
Hidden,LogReports,00l8q000000M9WhAAK,Log Reports,Report
Hidden,EBotR_v4,00l8q000000M9uSAAS,Einstein Bot Reports Spring '23,Report
Hidden,EBotR_v5,00l8q000000MB7jAAG,Einstein Bot Reports Summer '23,Report
Hidden,CRM_180925_Sample_Sales_Reports,00l8q000000MBedAAG,Sample Sales Reports,Report
Hidden,CRM_180925_Sample_Sales_Dashboards_Reports,00l8q000000MBeeAAG,Sales Engagement Dashboard Reports,Report
Hidden,EBotR_v6,00lAD0000016c21YAA,Einstein Bot Reports Spring '24,Report
Hidden,IndustryEngagementReports,00lOm000000CClNIAW,Industry Engagement Reports,Report
Hidden,prm_channel_reports_folder,00lOm000000oFFBIA2,PRM Reports,Report
Hidden,prm_channel_sales_reports_folder,00lOm000000oFFCIA2,Channel Sales Reports,Report
Hidden,prm_channel_producivity_reports_folder,00lOm000000oFFDIA2,Channel Productivity Reports,Report
Hidden,DomesticFutureStudentReports,00lOm0000014qttIAA,Domestic Future Student Reports,Report
Hidden,DomesticFutureStudentTeamLeaderReports,00lOm0000014qtuIAA,Domestic FS Team Leader Reports,Report
Hidden,InternationalFutureStudentReports,00lOm0000014qtvIAA,International Future Student Reports,Report
Hidden,InternationalFutureStudentTeamLeaderReports,00lOm0000014qtwIAA,International FS Team Leader Reports,Report
Hidden,AnaReports,00lOm000001cO5ZIAU,Ana Reports,Report
Hidden,prm_ch_reports_sub_folder,00lOm000002b6enIAA,PRM,Report
Hidden,prm_winter24_reportsSPLIT1707593545772,00lOm000002b6eoIAA,PRM Reports Winter ’24,Report
Hidden,prm_winter24_ch_prod_reports_folderSPLIT1707593545772,00lOm000002b6epIAA,Channel Productivity,Report
Hidden,prm_winter24_ch_sales_reports_folderSPLIT1707593545772,00lOm000002b6eqIAA,Channel Sales,Report
Hidden,prm_spring24_reportsSPLIT1707593545772,00lOm000002b6erIAA,PRM Reports Spring ’24,Report
Hidden,prm_spring24_ch_marketing_reports_folderSPLIT1707593545772,00lOm000002b6esIAA,Channel Marketing,Report
Hidden,prm_spring24_pt_engagement_reports_folderSPLIT1707593545772,00lOm000002b6etIAA,Partner Engagement,Report
Hidden,Projectreporting,00lOm000002unCzIAI,Project reporting,Report
Hidden,LH_Future_Students_Reports,00lOm000003wTkfIAE,LH - Future Students Reports,Report
Hidden,QUTeXOperationalTemplates,00l8q000000M9OdAAK,QUTeX Operational Templates,EmailTemplate
Hidden,QUTeXSystemTemplates,00l8q000000M9OeAAK,QUTeX System Templates,EmailTemplate
Hidden,CRM_180925_Email_Templates_From_Salesforce,00l8q000000MBejAAG,Email Templates from Salesforce,EmailTemplate
Hidden,QUTCadenceEmailTemplates,00lOm000000CClPIAW,QUT Cadence Email Templates,EmailTemplate
Hidden,QUTDomesticCadenceEmailTemplates,00lOm0000014qu1IAA,QUT Domestic Cadence Email Templates,EmailTemplate
Hidden,QUTInternationalCadenceEmailTemplate,00lOm0000014qu2IAA,QUT International Cadence Email Template,EmailTemplate
Hidden,QUTInternatFutureStudentTemplates,00lOm000001AocTIAS,QUT Internat. Future Student Templates,EmailTemplate
Hidden,QUTDomFutureStudentAppointmentTemplates,00lOm000001oE2PIAU,QUTDomFutureStudentAppointmentTemplates,EmailTemplate
