Description,Id,IsActive,Name
,01s5g0000014NeIAAU,true,Standard Price Book
Products and services applicable to Custom Corporate education offerings.,01s8q0000000IzhAAE,true,Custom Corporate Products & Services
,01s8q0000000KA8AAM,true,Study Price Book
,01s8q0000000KA9AAM,true,Study Strikethrough Price Book
,01s8q0000000KADAA2,true,CCE Price Book
,01s8q0000000KAEAA2,true,CCE Strikethrough Price Book
Products and services applicable to Custom Corporate education offerings.,01s8q0000000KAcAAM,true,Custom Corporate Products & Services
,01s8q0000000KAdAAM,true,QUT Staff
,01s8q0000000KAeAAM,true,QUT Alumni
,01s8q0000000KAfAAM,true,Current Learner
,01s8q0000000KAgAAM,true,Early Bird
,01s8q0000000KAhAAM,true,Group Booking
,01s8q0000000KAxAAM,true,Australasian College of Health Service Managers (ACHSM) Memb
,01s8q0000000KAyAAM,true,Hand Heart Pocket Subsidy
,01s8q0000000KAzAAM,true,SunSuper Member
,01s8q0000000KB0AAM,true,Without Textbook
Additional 4 weeks of online access,01s8q0000000KR6AAM,true,Additional 4 weeks of online access
Supplementary training (6 credit point unit),01s8q0000000KRGAA2,true,Supplementary training (6 credit point unit)
Supplementary training (12 credit point),01s8q0000000KRLAA2,true,Supplementary training (12 credit point)
,01s8q0000000KZaAAM,true,Free
Previously completed a Confucius course,01s8q0000000KnOAAU,true,Returning Confucius Student
Package Client,01s8q0000000Ky2AAE,true,Corporate Client
,01s8q0000000LEtAAM,true,Assessment ONLY
,01s8q0000000LTQAA2,true,Current Staff
,01s8q0000000LTRAA2,true,Alumni
,01s8q0000000S7kAAE,true,Corporate Bundle - Queensland Health 2023-02-20 07:11:51
,01s8q0000000SHcAAM,true,Corporate Bundle - Services Australia (Commonwealth) 2023-02-22 07:24:20
,01s8q0000000SNQAA2,true,SOA - Test-SOA1-Shilpa-240223 2023-02-24 02:40:44
,01s8q0000000SNVAA2,true,Corporate Bundle - TestShilpacompany 2023-02-24 10:17:26
,01s8q0000000SVqAAM,true,SOA - B-Test-Bundle-Shilpa250223 2023-02-25 13:08:59
,01s8q0000000SVvAAM,true,Corporate Bundle - TestShilpacompany 2023-02-25 13:11:01
,01s8q0000000SfiAAE,true,Corporate Bundle - EB Games 2023-02-28 05:08:31
,01s8q0000000TU4AAM,true,Corporate Bundle - Department of Energy and Public Works (QLD) 2023-03-07 05:43:20
,01s8q0000000TU9AAM,true,"Corporate Bundle - Department Of Children, Youth Justice And Multicultural Affairs (QLD) 2023-03-07 05:57:37"
,01s8q0000000TUEAA2,true,"Corporate Bundle - Department of Communities, Housing and Digital Economy 2023-03-07 06:12:10"
,01s8q0000000TUJAA2,true,Corporate Bundle - Queensland Treasury 2023-03-07 23:26:41
,01s8q0000000TpRAAU,true,SOA - A-SOA2-Shilpa130323 2023-03-13 04:16:33
,01s8q0000000TpWAAU,true,SOA - B-Test-SOA2-Shilpa130323 2023-03-13 04:20:36
,01s8q0000000TpbAAE,true,Corporate Bundle - TestShilpacompany 2023-03-13 04:31:58
,01s8q0000000TpgAAE,true,Corporate Bundle - TestShilpacompany 2023-03-13 04:36:26
Additional 4 weeks of online access,01s8q0000000TyZAAU,true,Additional 4 weeks
,01s8q0000000V5AAAU,true,Corporate Bundle - Department of Energy and Public Works (QLD) 2023-07-03 03:54:44
,01s8q0000000W57AAE,true,Starndard Price (twin share)
,01s8q0000000W5CAAU,true,Early Bird (single room)
,01s8q0000000W5HAAU,true,Early Bird (twin share)
,01s8q0000000W5MAAU,true,Postgraduate (single room)
,01s8q0000000W5RAAU,true,Postgraduate (twin share)
,01sOm0000000DjdIAE,true,Corporate Bundle - Queensland College of Art 2023-09-02 04:46:30
,01sOm0000000E4bIAE,true,Corporate Bundle - Queensland College of Art 2023-09-02 10:02:39
,01sOm0000000rqjIAA,true,Corporate Bundle - PVT-DataToDelete-CompanyShilpa121023 2023-10-12 04:20:23
,01sOm0000000rsLIAQ,true,SOA - Test-PVT-SOA1-ToDelete-Shilpa121023 2023-10-12 04:29:55
,01sOm0000000vSvIAI,true,Student
,01sOm0000001AIHIA2,true,Corporate Bundle - PVT-DataToDelete-CompanyShilpa121023 2023-10-26 07:27:52
,01sOm0000001AJtIAM,true,Corporate Bundle - desc 2023-10-26 08:36:03
,01sOm0000001ELtIAM,true,SOA - Test-PVT-SOA-DELETE-Shilpa311023 2023-10-31 07:28:58
,01sOm0000001ENVIA2,true,Corporate Bundle - PVT-DataToDelete-CompanyShilpa121023 2023-10-31 07:34:50
,01sOm0000002flRIAQ,true,SOA - TEST SOA CREATED BY ANA 2024-02-07 04:32:19
,01sOm0000002hYjIAI,true,Core + 1 elective
Full Rate Supplement - Safe Prescribing,01sOm000000337pIAA,true,Full Rate Supplement - Safe Prescribing
