$$Pricebook2.Name$Product2.Name,Id,IsActive,Pricebook2.Name,Pricebook2Id,Product2.Name,Product2Id,UnitPrice
Standard Price Book;Inclusive Strategies for the Autism Spectrum: Module Plus,01u8q000000YZtjAAG,false,Standard Price Book,01s5g0000014NeIAAU,Inclusive Strategies for the Autism Spectrum: Module Plus,01t8q000000Eu0qAAC,654.5
Standard Price Book;Business Process Modelling with BPMN & Improvement - Virtual,01u8q000000YZtqAAG,false,Standard Price Book,01s5g0000014NeIAAU,Business Process Modelling with BPMN & Improvement - Virtual,01t8q000000Eu0xAAC,3120
Standard Price Book;Creating Publications that Cut Through and Inspire Action,01u8q000000YZtxAAG,false,Standard Price Book,01s5g0000014NeIAAU,Creating Publications that Cut Through and Inspire Action,01t8q000000Eu14AAC,880
Standard Price Book;Introduction to Storytelling with Data,01u8q000000YZtzAAG,false,Standard Price Book,01s5g0000014NeIAAU,Introduction to Storytelling with Data,01t8q000000Eu16AAC,220
Standard Price Book;Disaster Response and Recovery,01u8q000000YZu2AAG,false,Standard Price Book,01s5g0000014NeIAAU,Disaster Response and Recovery,01t8q000000Eu19AAC,2325
Standard Price Book;Financial Literacy for Public Sector Business Managers,01u8q000000YZu3AAG,false,Standard Price Book,01s5g0000014NeIAAU,Financial Literacy for Public Sector Business Managers,01t8q000000Eu1AAAS,880
Standard Price Book;Health Planning and Evaluation,01u8q000000YZu5AAG,false,Standard Price Book,01s5g0000014NeIAAU,Health Planning and Evaluation,01t8q000000Eu1CAAS,2325
Standard Price Book;Inclusive Strategies for the Autism spectrum,01u8q000000YZu8AAG,false,Standard Price Book,01s5g0000014NeIAAU,Inclusive Strategies for the Autism spectrum,01t8q000000Eu1FAAS,418
Standard Price Book;Leadership In Health Management,01u8q000000YZuCAAW,false,Standard Price Book,01s5g0000014NeIAAU,Leadership In Health Management,01t8q000000Eu1KAAS,2325
Standard Price Book;Leadership of Quality and Safety in Health Care,01u8q000000YZuEAAW,false,Standard Price Book,01s5g0000014NeIAAU,Leadership of Quality and Safety in Health Care,01t8q000000Eu1MAAS,2325
Standard Price Book;Modern Chinese Language Course: Level 1,01u8q000000YZuMAAW,false,Standard Price Book,01s5g0000014NeIAAU,Modern Chinese Language Course: Level 1,01t8q000000Eu1UAAS,470
Standard Price Book;Modern Chinese Language Course: Level 2,01u8q000000YZuNAAW,false,Standard Price Book,01s5g0000014NeIAAU,Modern Chinese Language Course: Level 2,01t8q000000Eu1VAAS,470
Standard Price Book;Modern Chinese Language Course: Level 3,01u8q000000YZuOAAW,false,Standard Price Book,01s5g0000014NeIAAU,Modern Chinese Language Course: Level 3,01t8q000000Eu1WAAS,470
Standard Price Book;Modern Chinese Language Course: Level 4,01u8q000000YZuPAAW,false,Standard Price Book,01s5g0000014NeIAAU,Modern Chinese Language Course: Level 4,01t8q000000Eu1XAAS,470
Standard Price Book;Modern Chinese Language Course: Level 5,01u8q000000YZuQAAW,false,Standard Price Book,01s5g0000014NeIAAU,Modern Chinese Language Course: Level 5,01t8q000000Eu1YAAS,470
Standard Price Book;Modern Chinese Language Course: Level 6,01u8q000000YZuRAAW,false,Standard Price Book,01s5g0000014NeIAAU,Modern Chinese Language Course: Level 6,01t8q000000Eu1ZAAS,470
Standard Price Book;Modern Chinese Language Course: Level 7,01u8q000000YZuSAAW,false,Standard Price Book,01s5g0000014NeIAAU,Modern Chinese Language Course: Level 7,01t8q000000Eu1aAAC,470
Standard Price Book;Modern Chinese Language Course: Level 8,01u8q000000YZuTAAW,false,Standard Price Book,01s5g0000014NeIAAU,Modern Chinese Language Course: Level 8,01t8q000000Eu1bAAC,470
Standard Price Book;Being Strategic: Thinking and acting with impact,01u8q000000YZuYAAW,false,Standard Price Book,01s5g0000014NeIAAU,Being Strategic: Thinking and acting with impact,01t8q000000Eu1IAAS,220
Standard Price Book;Successful Speechwriting,01u8q000000YZuZAAW,false,Standard Price Book,01s5g0000014NeIAAU,Successful Speechwriting,01t8q000000Eu1gAAC,880
Standard Price Book;Team and Group Coaching: igniting organisational energy,01u8q000000YZudAAG,false,Standard Price Book,01s5g0000014NeIAAU,Team and Group Coaching: igniting organisational energy,01t8q000000Eu1kAAC,880
