Description,Family,Id,IsActive,Name
,Education,01tAD000004FeMEYA0,true,Course-Activity-000
Single Course Description,QUTeX CCE Services,01tAD000004Ff3lYAC,true,Single Course
,QUTeX CCE Services,01tAD000004Ff3mYAC,true,Workshop
"Prescribed Program Plan. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",QUTeX CCE Services,01tAD000004Ff3nYAC,true,Prescribed Program Plan
"Prescribed Program Plan. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",QUTeX CCE Services,01tAD000004Ff3oYAC,true,Flexible Program Plan
,QUTeX CCE Services,01t8q000000EjSRAA0,true,Non Award Module
,QUTeX CCE Services,01t8q000000EjSSAA0,true,Award Unit
,QUTeX CCE Services,01t8q000000EjSTAA0,true,Activity
,QUTeX CCE Services,01t8q000000EjSUAA0,true,Professional Advantage
,QUTeX CCE Services,01t8q000000EjSVAA0,true,Individual Coaching
,QUTeX CCE Services,01t8q000000EjSWAA0,true,Group Coaching
,QUTeX CCE Services,01t8q000000EjSXAA0,true,Diagnostic Tools
,QUTeX CCE Services,01t8q000000EjSYAA0,true,Mentoring
,QUTeX CCE Services,01t8q000000EjSZAA0,true,Educational Consultancy
,QUTeX CCE Services,01t8q000000EjSaAAK,true,High Impact Projects
,QUTeX CCE Services,01t8q000000EjSbAAK,true,Content Development
,QUTeX CCE Services,01t8q000000EjScAAK,true,Evaluation
,QUTeX CCE Services,01t8q000000EjSdAAK,true,Venue
,QUTeX CCE Services,01t8q000000EjSeAAK,true,Catering
,QUTeX CCE Services,01t8q000000EjSfAAK,true,Other
Apply an entrepreneurial thinking framework to bring to life an idea that will add value to your school or classroom.,Education,01t8q000000Eu0mAAC,true,Innovative Thinking for Teachers & School Leaders: Module Plus
Design and build an educational app to meet your students’ needs and evaluate its use in your classroom.,Education,01t8q000000Eu0nAAC,true,Creating Apps in the Classroom: Module Plus
"Demonstrate your understanding of the history of and concepts underpinning inclusive education, and how these relate to educators’ obligations under international human rights law and Australian legislation.",Education,01t8q000000Eu0oAAC,true,Inclusive Education: Core concepts and essential knowledge: Module Plus
"Produce an action plan to use trauma-informed practices to support students, your colleagues and your school.",Education,01t8q000000Eu0pAAC,true,Teaching Students who have suffered Complex trauma: Module Plus
