hed__Active__c,hed__Asynchronous__c,hed__Class__c,hed__Filter_Field__c,hed__Filter_Value__c,hed__Load_Order__c,hed__Object__c,hed__Owned_by_Namespace__c,hed__Trigger_Action__c,hed__User_Managed__c,hed__Usernames_to_Exclude__c,Id,Name
true,false,ACCT_IndividualAccounts_TDTM,,,1,Contact,hed,AfterInsert;AfterUpdate;AfterDelete,false,,a0TAD000006faP32AI,a0T9r0000000421
true,false,RenameLeadConvertedAccounts_TDTM,,,1,Lead,hed,AfterUpdate,false,,a0TAD000006faP42AI,a0T9r0000000422
true,false,AFFL_AccChange_TDTM,,,2,Affiliation__c,hed,AfterUpdate,false,,a0TAD000006faP52AI,a0T9r0000000423
true,false,AFFL_ContactChange_TDTM,,,2,Affiliation__c,hed,AfterUpdate,false,,a0TAD000006faP62AI,a0T9r0000000424
true,false,AFFL_MultiRecordType_TDTM,,,3,Affiliation__c,hed,BeforeInsert;AfterInsert;AfterUpdate;AfterDelete,false,,a0TAD000006faP72AI,a0T9r0000000425
true,false,AFFL_AccRecordType_TDTM,,,1,Account,hed,AfterUpdate,false,,a0TAD000006faP82AI,a0T9r0000000426
true,false,REL_Relationships_Cm_TDTM,,,1,CampaignMember,hed,AfterInsert;AfterUpdate,false,,a0TAD000006faP92AI,a0T9r0000000427
true,false,REL_Relationships_Con_TDTM,,,3,Contact,hed,AfterInsert;AfterUpdate;AfterDelete,false,,a0TAD000006faPA2AY,a0T9r0000000428
true,false,REL_Relationships_TDTM,,,1,Relationship__c,hed,AfterInsert;AfterUpdate;AfterDelete,false,,a0TAD000006faPB2AY,a0T9r0000000429
false,false,ADDR_Addresses_TDTM,,,1,Address__c,hed,BeforeInsert;BeforeUpdate;AfterInsert;AfterUpdate;AfterDelete,true,,a0TAD000006faPC2AY,a0T9r000000042A
false,false,ADDR_Contact_TDTM,,,2,Contact,hed,BeforeInsert;BeforeUpdate;AfterInsert;AfterUpdate,false,,a0TAD000006faPD2AY,a0T9r000000042B
false,false,ADDR_Account_TDTM,,,1,Account,hed,BeforeInsert;BeforeUpdate;AfterInsert;AfterUpdate,false,,a0TAD000006faPE2AY,a0T9r000000042C
true,false,CON_DoNotContact_TDTM,,,2,Contact,hed,BeforeInsert;BeforeUpdate,false,,a0TAD000006faPF2AY,a0T9r000000042D
false,false,CON_Preferred_TDTM,,,3,Contact,hed,BeforeInsert;BeforeUpdate,true,,a0TAD000006faPG2AY,a0T9r000000042E
false,false,CON_PreferredPhone_TDTM,,,4,Contact,hed,BeforeInsert;BeforeUpdate,true,,a0TAD000006faPH2AY,a0T9r000000042F
true,false,CON_PrimaryAffls_TDTM,,,4,Contact,hed,AfterInsert;AfterUpdate,false,,a0TAD000006faPI2AY,a0T9r000000042G
true,false,PREN_Affiliation_TDTM,,,1,Program_Enrollment__c,hed,BeforeInsert;AfterDelete,false,,a0TAD000006faPJ2AY,a0T9r000000042H
true,false,COFF_Affiliation_TDTM,,,1,Course_Offering__c,hed,BeforeDelete;AfterInsert;AfterUpdate,false,,a0TAD000006faPK2AY,a0T9r000000042I
true,false,THAN_Filter_TDTM,,,1,Trigger_Handler__c,hed,BeforeInsert;BeforeUpdate,false,,a0TAD000006faPL2AY,a0T9r000000042J
true,false,THAN_ClearCache_TDTM,,,2,Trigger_Handler__c,hed,AfterInsert;AfterUpdate;AfterDelete,false,,a0TAD000006faPM2AY,a0T9r000000042K
true,false,TERM_CourseOff_TDTM,,,1,Term__c,hed,AfterUpdate,false,,a0TAD000006faPN2AY,a0T9r000000042L
true,false,CON_CannotDelete_TDTM,,,1,Contact,hed,BeforeDelete,false,,a0TAD000006faPO2AY,a0T9r000000042M
true,false,ACCT_CannotDelete_TDTM,,,1,Account,hed,BeforeDelete,false,,a0TAD000006faPP2AY,a0T9r000000042N
true,false,ADDR_CannotDelete_TDTM,,,1,Address__c,hed,BeforeDelete,false,,a0TAD000006faPQ2AY,a0T9r000000042O
true,false,CENR_AcademicProgram_TDTM,,,1,Course_Enrollment__c,hed,BeforeInsert;BeforeUpdate,false,,a0TAD000006faPR2AY,a0T9r000000042P
false,false,CCON_Faculty_TDTM,,,1,Course_Enrollment__c,hed,BeforeInsert;AfterInsert;AfterUpdate;AfterDelete,true,,a0TAD000006faPS2AY,a0T9r000000042Q
true,false,PPlan_Primary_TDTM,,,1,Program_Plan__c,hed,AfterInsert;AfterUpdate,false,,a0TAD000006faPT2AY,a0T9r000000042R
true,false,PPlan_CannotDelete_TDTM,,,1,Program_Plan__c,hed,BeforeDelete,false,,a0TAD000006faPU2AY,a0T9r000000042S
