Errors,Id,Lead__c,My_Country_Of_Citizenship__c,My_Primary_BSA__c,My_Primary_NSA__c,My_Primary_Study_Level__c
,a1mAD000000M8oXYAS,,,Health,,Postgraduate
,a1mAD000000M8oYYAS,,,Engineering,,Postgraduate
,a1mAD000000M8oZYAS,,,Business,,Postgraduate
,a1mAD000000M8oaYAC,,Australia,Education,,Undergraduate
,a1mAD000000M8obYAC,,,,,
,a1mAD000000M8ocYAC,,,,,
,a1mAD000000M8odYAC,,,,,
,a1mAD000000M8oeYAC,,,,,Postgraduate
,a1mAD000000M8ofYAC,,,,,
,a1mAD000000M8ogYAC,,,,,
,a1mAD000000M8ohYAC,,,,,
,a1mAD000000M8oiYAC,,,,,
,a1mAD000000M8ojYAC,,Australia,Business,,
,a1mAD000000M8okYAC,,Australia,Education,Early Childhood,Undergraduate
,a1mAD000000M8olYAC,,Australia,Education,,Postgraduate
,a1mAD000000M8omYAC,,Iraq,Education,Nursing,Postgraduate
,a1mAD000000M8onYAC,,Iraq,,,
,a1mAD000000M8ooYAC,,,Education,,Higher Degree Research
,a1mAD000000M8opYAC,,,,,
