Action_Required__c,Administrative_Support__c,Checkout_Cart_Items_Count__c,Content_Challenged_Thinking__c,Delivery_Type__c,Develop_Topic_Insights__c,Effective_Learning_Activities__c,End_Date__c,Errors,Evaluation_Summary__c,Evaluation_Type__c,External_Id__c,External_Key__c,Facilitator_Knowledge__c,Facilities_Catering__c,Facility__c,hed_Capacity__c,hed_Program_Plan__c,IsActive__c,LMS_Quality__c,Migration_Id__c,Migration_Key__c,Minimum_Participants__c,Name,Overall_Experience__c,Peer_Engagement__c,Real_World_Learning_Opportunities__c,Registration_End_Date__c,Registration_Start_Date__c,Start_Date__c,Total_Number_of_Registered_Learners__c,Virtual_Platform_Quality__c,Visible_on_Website__c
,,0,,Brisbane Classroom,,,2023-10-31,Required fields are missing: [hed_Program_Plan__c],,,,,,,,100,,true,,,,10,EXCP0600-2022111-1,,,,2022-10-31,2022-10-07,2022-11-01,0,,false
,,0,,Brisbane Classroom,,,2024-02-29,Required fields are missing: [hed_Program_Plan__c],,,,,,,,23,,true,,,,0,EXCPWP0604-20230223-1,,,,2023-02-21,2023-02-12,2023-02-23,23,,false
,,0,,Brisbane Classroom,,,2023-12-31,Required fields are missing: [hed_Program_Plan__c],,,,,,,,25,,true,,,,0,EXCP0608-20230226-1,,,,2023-03-14,2023-02-23,2023-02-26,24,,false
,,0,,Brisbane Classroom,,,2023-11-30,Required fields are missing: [hed_Program_Plan__c],,,,,,,,7,,true,,,,0,EXCPWP0605-20230412-1,,,,2023-04-05,2023-03-15,2023-04-12,7,,false
,,0,,Brisbane Classroom,,,2023-11-30,Required fields are missing: [hed_Program_Plan__c],,,,,,,,24,,true,,,,0,EXCP0610-2023053-1,,,,2023-05-03,2023-04-18,2023-05-03,17,,false
,,0,,Brisbane Classroom,,,2023-12-31,Required fields are missing: [hed_Program_Plan__c],,,,,,,,28,,true,,,,0,EXCPWP0606-20230522-1,,,,2023-05-19,2023-04-27,2023-05-22,20,,false
,,0,,Brisbane Classroom,,,2024-12-31,Required fields are missing: [hed_Program_Plan__c],,,,,,,,25,,true,,,,0,EXCPWP0607-20230612-1,,,,2023-06-13,2023-05-21,2023-06-12,25,,false
,,0,,Brisbane Classroom,,,2024-05-31,Required fields are missing: [hed_Program_Plan__c],,Face-to-Face,,,,,,57,,true,,,,0,EXCPWP0608-2023069-1,,,,2023-06-15,2023-05-22,2023-06-13,57,,false
,,0,,Brisbane Classroom,,,2024-03-21,Required fields are missing: [hed_Program_Plan__c],,,,,,,,15,,true,,,,0,EXCPWP0609-2023081-1,,,,2023-07-28,2023-07-06,2023-08-01,14,,false
,,0,,Online Classroom,,,2026-03-27,Required fields are missing: [hed_Program_Plan__c],,Face-to-Face,,,,,,100,,true,,,,1,EXOP0611-2024033-1,,,1,2026-03-31,2024-03-04,2024-03-03,2,,false
,,,,Online Classroom,,,2024-04-30,Required fields are missing: [hed_Program_Plan__c],,,,,,,,100,,true,,,,1,EXCPWP0610-20240312-1,,,,2024-04-30,2024-03-07,2024-03-12,,,false
,,,,Brisbane Classroom,,,2024-04-30,Required fields are missing: [hed_Program_Plan__c],,,,,,,,100,,true,,,,1,EXCP0615-2024037-1,,,,2024-03-30,2024-03-07,2024-03-07,,,false
,,0,,Brisbane Classroom,,,2024-08-05,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,30,EXOP0612-2024065-1,,,,2024-04-09,2024-04-04,2024-06-05,1,,false
,,0,,Brisbane Classroom,,,2024-08-05,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,30,EXOP0613-2024065-1,,,,2024-04-09,2024-04-04,2024-06-05,1,,false
,,,,Online Classroom,,,2024-11-05,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0615-2024065-1,,,,2024-06-05,2024-05-05,2024-06-05,,,false
,,0,,Brisbane Classroom,,,2024-08-06,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,30,EXOP0616-2024066-1,,,,2024-04-10,2024-04-05,2024-06-06,1,,false
,,,,Online Classroom,,,2024-11-06,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0620-2024066-1,,,,2024-06-06,2024-05-06,2024-06-06,,,false
,,0,,Brisbane Classroom,,,2024-08-08,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,30,EXOP0621-2024068-1,,,,2024-04-12,2024-04-07,2024-06-08,1,,false
,,0,,Brisbane Classroom,,,2024-08-08,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,30,EXOP0622-2024068-1,,,,2024-04-12,2024-04-07,2024-06-08,1,,false
