Enrollment_Start_Date__c,Errors,External_Key__c,hed_Program_Enrollment__c,Id,Migration_Id__c,On_Plan_Flag__c,Student__c,Study_Area_Attempt_No__c,Study_Area_Name__c
,,,a0JAD000000LQHF2A4,a2vAD000000wUdeYAE,,Yes,003AD00000SDfNfYAL,3,a2wAD000000UKPVYA4
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UKPWYA4
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,2,a2wAD000000UKPXYA4
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UJJoYAO
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UJJpYAO
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UJJqYAO
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UJJrYAO
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,2,a2wAD000000UKPYYA4
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,3,a2wAD000000UKPZYA4
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UKPaYAO
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,2,a2wAD000000UKPbYAO
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UKPcYAO
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UKPdYAO
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,2,a2wAD000000UJq9YAG
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,3,a2wAD000000UKPeYAO
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UJK0YAO
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UJK1YAO
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,2,a2wAD000000UJK2YAO
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UJK3YAO
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UJq1YAG
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UJK5YAO
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UJK6YAO
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UJK7YAO
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UJK8YAO
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UJK9YAO
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,2,a2wAD000000UJKAYA4
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UJKBYA4
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,2,a2wAD000000UJKCYA4
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UJKDYA4
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,3,a2wAD000000UJKEYA4
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UJKFYA4
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UJKGYA4
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UJKHYA4
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UJKIYA4
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UJKJYA4
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UKPfYAO
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UJKLYA4
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UKPgYAO
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UJKNYA4
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UJKOYA4
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UJKPYA4
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UJKQYA4
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,2,a2wAD000000UKPhYAO
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,2,a2wAD000000UJq8YAG
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UKPiYAO
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UKPjYAO
,Required fields are missing: [hed_Program_Enrollment__c],,,,,Yes,003AD00000SDfNfYAL,1,a2wAD000000UKPkYAO
