Amount__c,Attempt_No__c,Cart_ID__c,Cart_Item__c,Class_Registration_Start_Date__c,Course__c,Enrollment_Stage__c,Enrollment_Status__c,Enrollment_Status_Date__c,Errors,External_Key__c,hed__Contact__c,hed__Credentialing_Identifier__c,hed__Credits_Attempted__c,hed__Credits_Earned__c,hed__Display_Grade__c,hed__Grade__c,hed__Primary__c,hed__Program_Enrollment__c,hed__Status__c,hed__Verification_Status__c,hed__Verification_Status_Date__c,Id,Is_Group_Registered__c,IsActive__c,LMS_Integration_Status__c,Marks__c,Migration_Id__c,Paid_in_Full__c,Payment_Method__c,Pricing_Validation__c,Program_Offering__c,Purchased_Price__c,RecordTypeId,Requires_Class_Registration__c,Student_Has_Registered_For_Class__c,Transaction_ID__c
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVq5YAG,false,false,Success,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVq6YAG,false,false,Success,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVq7YAG,false,false,Success,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVq8YAG,false,false,Success,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVq9YAG,false,false,Success,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVqAYAW,false,true,Success,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVqBYAW,false,true,Success,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVqCYAW,false,false,Success,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVqDYAW,false,false,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVqEYAW,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
