Action_Required__c,Administrative_Support__c,Checkout_Cart_Items_Count__c,Content_Challenged_Thinking__c,Delivery_Mode__c,Delivery_Type__c,Develop_Topic_Insights__c,Effective_Learning_Activities__c,Errors,Evaluation_Summary__c,Evaluation_Type__c,External_Key__c,Facilitator_Knowledge__c,Facilities_Catering__c,hed__Capacity__c,hed__Course__c,hed__End_Date__c,hed__Facility__c,hed__Faculty__c,hed__Section_ID__c,hed__Start_Date__c,hed__Term__c,IsActive__c,LMS_Creation_Date__c,LMS_Integration_Status__c,LMS_Quality__c,Migration_Id__c,Minimum_Participants__c,Name,On_Hold_Seat__c,Overall_Experience__c,Peer_Engagement__c,Primary_Facilitator__c,Program_Offering__c,Real_World_Learning_Opportunities__c,Registration_End_Date__c,Registration_Start_Date__c,Total_Number_of_Registered_Learners__c,Virtual_Platform_Quality__c,Visible_on_Website__c
,,0,,,Online Self-paced,,,Required fields are missing: [hed__Course__c],,,,,,200,,2022-11-20,,,,2022-10-10,a0PAD000004zVzA2AU,false,,Success,,,1,EUNM0001-20221010-1,,,,a09AD000004DVq5YAG,,,2022-09-11,2022-05-01,0,,false
,,,,,Online Self-paced,,,Required fields are missing: [hed__Course__c],,,,,,200,,2022-11-20,,,,2022-10-10,a0PAD000004zxAY2AY,false,,Success,,,1,EUNM0002-20221010-1,,,,a09AD000004DVq5YAG,,,2022-09-11,2022-05-01,0,,false
,,0,,,Online Self-paced,,,Required fields are missing: [hed__Course__c],,,,,,200,,2022-12-04,,,,2022-10-24,a0PAD0000050Kof2AE,false,,Success,,,1,EUNM6390-20221024-1,,,,a09AD000004DVq5YAG,,,2022-10-16,2022-05-01,0,,false
,,0,,,Online Self-paced,,,Required fields are missing: [hed__Course__c],,,,,,200,,2022-12-04,,,,2022-10-24,a0PAD000004zxAZ2AY,false,,Success,,,1,EUNM6510-20221024-1,,,,a09AD000004DVq5YAG,,,2022-10-16,2022-05-01,0,,false
,,,,,Online Self-paced,,,Required fields are missing: [hed__Course__c],,,,,,200,,2022-08-28,,,,2022-08-01,a0PAD000004zxAa2AI,false,,Success,,,1,EUQM6520-20220801-1,,,,a09AD000004DVq5YAG,,,2022-07-24,2022-05-01,0,,false
,,,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,25,,2022-10-28,a0FAD000001OyIg2AK,,,2022-06-11,a0PAD000004zxAb2AI,false,,Success,,,10,EXOS0001-20220611-1,,,,a09AD000004DVq5YAG,,,2022-06-04,2022-05-01,0,,false
,,,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,25,,2022-10-28,a0FAD000001OyIe2AK,,,2022-06-11,a0PAD000004zxAc2AI,false,,Success,,,10,EXOS0002-20220611-1,,,,a09AD000004DVq5YAG,,,2022-06-04,2022-05-01,0,,false
,,4,,,Online Classroom,,,Required fields are missing: [hed__Course__c],,,,,,30,,2022-12-21,a0FAD000001OyIf2AK,,,2022-09-13,a0PAD000004zxAd2AI,false,,Success,,,10,EXOS0003-20220801-1,,,,a09AD000004DVq5YAG,,,2022-09-07,2022-05-01,0,,false
,,,,,Online Classroom,,,Required fields are missing: [hed__Course__c],,,,,,25,,2022-06-30,a0FAD000001OyIh2AK,,,2022-06-29,a0PAD000004zxAe2AI,false,,,,,10,EXOS0004-20220629-1,,,,a09AD000004DVq5YAG,,,2022-06-22,2022-05-01,14,,false
,,,,,Brisbane Classroom,,,Registration End Date should be equal to or greater than Registration Start Date,,,,,,35,,2022-05-17,a0FAD000001OyIi2AK,,,2022-05-17,a0PAD000004zxAf2AI,false,,,,,10,EXOS0005-20220517-1,,,,a09AD000004DVq5YAG,,,2021-05-13,2022-05-01,22,,false
,,4,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,35,,2022-11-22,a0FAD000001OyIj2AK,,,2022-11-22,a0PAD000004zxAg2AI,false,,,,,8,EXOS0005-20221117-1,,,,a09AD000004DVq5YAG,,,2022-11-20,2022-05-14,19,,false
,,1,,,Online Classroom,,,Required fields are missing: [hed__Course__c],,,,,,25,,2022-10-19,a0FAD000001OyId2AK,,,2022-10-11,a0PAD000004zxAh2AI,false,,,,,8,EXOS0006-20221011-1,,,,a09AD000004DVq5YAG,,,2022-10-05,2022-05-01,0,,false
,,,,,Online Classroom,,,Required fields are missing: [hed__Course__c],,,,,,25,,2022-06-22,a0FAD000001RIgD2AW,,,2022-06-14,a0PAD000004zxAi2AI,false,,,,,10,EXOS0007-20220614-1,,,,a09AD000004DVq5YAG,,,2022-06-07,2022-05-01,1,,false
,,1,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,25,,2022-11-11,a0FAD000001OyIk2AK,,,2022-11-08,a0PAD000004zxAj2AI,false,,,,,8,EXOS0008-20221108-1,,,,a09AD000004DVq5YAG,,,2022-11-01,2022-05-01,4,,false
,,2,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,30,,2022-10-14,a0FAD000001OyIl2AK,,,2022-10-13,a0PAD000004zxAk2AI,false,,,,,10,EXOS0009-20221013-1,,,,a09AD000004DVq5YAG,,,2022-10-05,2022-05-01,13,,false
,,9,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,30,,2022-10-12,a0FAD000001RWUf2AO,,,2022-10-10,a0PAD000004zxAl2AI,false,,,,,10,EXOS0010-20221010-1,,,,a09AD000004DVq5YAG,,,2022-10-05,2022-05-01,20,,false
,,5,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,35,,2022-10-27,a0FAD000001RWUg2AO,,,2022-10-27,a0PAD000004zxAm2AI,false,,,,,8,EXOS0011-20221027-1,,,,a09AD000004DVq5YAG,,,2022-10-25,2022-05-01,7,,false
,,,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,35,,2022-06-07,a0FAD000001RWRS2A4,,,2022-06-06,a0PAD000004zxAn2AI,false,,,,,10,EXOS0012-20220606-1,,,,a09AD000004DVq5YAG,,,2022-06-03,2022-05-01,28,,false
,,15,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,35,,2022-11-01,a0FAD000001RIgH2AW,,,2022-10-31,a0PAD000004zxAo2AI,false,,,,,10,EXOS0012-20221031-1,,,,a09AD000004DVq5YAG,,,2022-10-28,2022-06-04,30,,false
,,5,,,Online Self-paced,,,Required fields are missing: [hed__Course__c],,,,,,200,,2022-08-07,a0FAD000001RIgI2AW,,,2022-07-11,a0PAD000004zxAp2AI,false,,Success,,,1,EXOS0013-20220711-1,,,,a09AD000004DVq5YAG,,,2022-07-08,2022-05-01,0,,false
,,,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,35,,2022-07-26,a0FAD000001RIgJ2AW,,,2022-07-26,a0PAD000004zxAq2AI,false,,,,,6,EXOS0014-20220726-1,,,,a09AD000004DVq5YAG,,,2022-07-10,2022-05-01,2,,false
,,0,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,35,,2022-07-19,a0FAD000001RIgK2AW,,,2022-07-19,a0PAD000004zxAr2AI,false,,,,,8,EXOS0015-20220719-1,,,,a09AD000004DVq5YAG,,,2022-07-17,2022-05-01,14,,false
,,,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,35,,2022-06-15,a0FAD000001RWUh2AO,,,2022-06-15,a0PAD000004zxAs2AI,false,,,,,10,EXOS0016-20220615-1,,,,a09AD000004DVq5YAG,,,2022-06-12,2022-05-01,0,,false
