Id,Name,Description,Family,IsActive
01t9r00000002LBAAY,Non Award Module,,QUTeX CCE Services,TRUE
01t9r00000002MnAAI,Award Unit,,QUTeX CCE Services,TRUE
01t9r00000002OPAAY,Activity,,QUTeX CCE Services,TRUE
01t9r00000002Q1AAI,Professional Advantage,,QUTeX CCE Services,TRUE
01t9r000000028RAAQ,Individual Coaching,,QUTeX CCE Services,TRUE
01t9r000000028QAAQ,Group Coaching,,QUTeX CCE Services,TRUE
01t9r000000028PAAQ,Diagnostic Tools,,QUTeX CCE Services,TRUE
01t9r000000028OAAQ,Mentoring,,QUTeX CCE Services,TRUE
01t9r000000028NAAQ,Educational Consultancy,,QUTeX CCE Services,TRUE
01t9r000000028MAAQ,High Impact Projects,,QUTeX CCE Services,TRUE
01t9r000000045FAAQ,Content Development,,QUTeX CCE Services,TRUE
01t9r000000046rAAA,Evaluation,,QUTeX CCE Services,TRUE
01t9r000000048TAAQ,Venue,,QUTeX CCE Services,TRUE
01t9r00000004A5AAI,Catering,,QUTeX CCE Services,TRUE
01t9r00000004BhAAI,Other,,QUTeX CCE Services,TRUE
01t9n0000006ULBAA2,Single Course,Single Course Description,QUTeX CCE Services,TRUE
01t9n0000006ULCAA2,Workshop,,QUTeX CCE Services,TRUE
01t9n0000006ULDAA2,Prescribed Program Plan,"Prescribed Program Plan. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",QUTeX CCE Services,TRUE
01t9n0000006ULEAA2,Flexible Program Plan,"Prescribed Program Plan. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",QUTeX CCE Services,TRUE
