Id,ProductCategoryId,IsPrimaryCategory,ProductId,ProductCategory.Name,Product.Name
0ZR9r0000000055GAA,0ZG9r00000000BMGAY,FALSE,01t9n0000006ULDAA2,My Products,Prescribed Program Plan
0ZR9r0000000056GAA,0ZG9r00000000BMGAY,FALSE,01t9n0000006ULEAA2,My Products,Flexible Program Plan
0ZR9r0000000057GAA,0ZG9r00000000BMGAY,FALSE,01t9n0000006ULBAA2,My Products,Single Course
0ZR9r0000000058GAA,0ZG9r00000000BKGAY,FALSE,01t9p0000000cK0AAI,Standalone Unit / Module,Evaluation
0ZR9r0000000059GAA,0ZG9r00000000BNGAY,FALSE,01t9n0000006ULCAA2,Workshop,Workshop
0ZR9r000000005AGAQ,0ZG9r00000000BJGAY,FALSE,01t9p0000000cJuAAI,Program,Group Coaching
0ZR9r000000005BGAQ,0ZG9r00000000BJGAY,FALSE,01t9p0000000cJtAAI,Program,Individual Coaching
0ZR9r000000005CGAQ,0ZG9r00000000BMGAY,FALSE,01t9p0000000cJrAAI,My Products,Activity
0ZR9r000000005DGAQ,0ZG9r00000000BMGAY,FALSE,01t9p0000000cJvAAI,My Products,Diagnostic Tools
0ZR9r000000005EGAQ,0ZG9r00000000BMGAY,FALSE,01t9p0000000cJxAAI,My Products,Educational Consultancy
0ZR9r000000005FGAQ,0ZG9r00000000BMGAY,FALSE,01t9p0000000cK0AAI,My Products,Evaluation
0ZR9r000000005GGAQ,0ZG9r00000000BMGAY,FALSE,01t9p0000000cJwAAI,My Products,Mentoring
0ZR9r000000005HGAQ,0ZG9r00000000BMGAY,FALSE,01t9p0000000cJpAAI,My Products,Non Award Module
0ZR9r000000005IGAQ,0ZG9r00000000BMGAY,FALSE,01t9p0000000cK3AAI,My Products,Other
0ZR9r000000006TGAQ,0ZG9r00000000BLGAY,FALSE,01t9p0000000cJrAAI,Activity,Activity
0ZR9r0000000085GAA,0ZG9r00000000BJGAY,FALSE,01t9p0000000cJzAAI,Program,Content Development
0ZR9r0000000086GAA,0ZG9r00000000BJGAY,FALSE,01t9p0000000cK2AAI,Program,Catering
0ZR9r0000000087GAA,0ZG9r00000000BJGAY,FALSE,01t9p0000000cJqAAI,Program,Award Unit
0ZR9r0000000088GAA,0ZG9r00000000BJGAY,FALSE,01t9p0000000cJrAAI,Program,Activity
