Id,PolicyId,ProductId,Policy.Name,Product.Name
7Ep9r00000000uWCAQ,1Ce9n00000000KzCAI,01t9n0000006ULEAA2,Test QUT Entitlement Policy,Flexible Program Plan
7Ep9r00000000uXCAQ,1Ce9n00000000KzCAI,01t9n0000006ULDAA2,Test QUT Entitlement Policy,Prescribed Program Plan
7Ep9r00000000uYCAQ,1Ce9n00000000KzCAI,01t9n0000006ULBAA2,Test QUT Entitlement Policy,Single Course
7Ep9r00000000w5CAA,1Ce9n00000000KzCAI,01t8q000000EjSRAA0,Test QUT Entitlement Policy,Non Award Module
7Ep9r00000000xhCAA,1Ce9n00000000KzCAI,01t8q000000EjSTAA0,Test QUT Entitlement Policy,Activity
7Ep9r00000000zJCAQ,1Ce9n00000000KzCAI,01t8q000000EjSXAA0,Test QUT Entitlement Policy,Diagnostic Tools
7Ep9r000000010vCAA,1Ce9n00000000KzCAI,01t8q000000EjSYAA0,Test QUT Entitlement Policy,Mentoring
7Ep9r000000012XCAQ,1Ce9n00000000KzCAI,01t8q000000EjSZAA0,Test QUT Entitlement Policy,Educational Consultancy
7Ep9r0000000149CAA,1Ce9n00000000KzCAI,01t8q000000EjScAAK,Test QUT Entitlement Policy,Evaluation
7Ep9r000000015lCAA,1Ce9n00000000KzCAI,01t8q000000EjSfAAK,Test QUT Entitlement Policy,Other
7Ep9r000000017NCAQ,1Ce9n00000000KzCAI,01t9n0000006ULCAA2,Test QUT Entitlement Policy,Workshop
7Ep9r000000018zCAA,1Ce9n00000000KzCAI,01t8q000000EjSWAA0,Test QUT Entitlement Policy,Group Coaching
7Ep9r00000001AbCAI,1Ce9n00000000KzCAI,01t8q000000EjSVAA0,Test QUT Entitlement Policy,Individual Coaching
7Ep9r00000001CDCAY,1Ce9n00000000KzCAI,01t8q000000EjSbAAK,Test QUT Entitlement Policy,Content Development
7Ep9r00000001DpCAI,1Ce9n00000000KzCAI,01t8q000000EjSeAAK,Test QUT Entitlement Policy,Catering
7Ep9r00000001FRCAY,1Ce9n00000000KzCAI,01t8q000000EjSSAA0,Test QUT Entitlement Policy,Award Unit
