Id,Name,Description,Family,IsActive
01t8q000000EjSRAA0,Non Award Module,,QUTeX CCE Services,TRUE
01t8q000000EjSSAA0,Award Unit,,QUTeX CCE Services,TRUE
01t8q000000EjSTAA0,Activity,,QUTeX CCE Services,TRUE
01t8q000000EjSUAA0,Professional Advantage,,QUTeX CCE Services,TRUE
01t8q000000EjSVAA0,Individual Coaching,,QUTeX CCE Services,TRUE
01t8q000000EjSWAA0,Group Coaching,,QUTeX CCE Services,TRUE
01t8q000000EjSXAA0,Diagnostic Tools,,QUTeX CCE Services,TRUE
01t8q000000EjSYAA0,Mentoring,,QUTeX CCE Services,TRUE
01t8q000000EjSZAA0,Educational Consultancy,,QUTeX CCE Services,TRUE
01t8q000000EjSaAAK,High Impact Projects,,QUTeX CCE Services,TRUE
01t8q000000EjSbAAK,Content Development,,QUTeX CCE Services,TRUE
01t8q000000EjScAAK,Evaluation,,QUTeX CCE Services,TRUE
01t8q000000EjSdAAK,Venue,,QUTeX CCE Services,TRUE
01t8q000000EjSeAAK,Catering,,QUTeX CCE Services,TRUE
01t8q000000EjSfAAK,Other,,QUTeX CCE Services,TRUE
01t9n0000006ULBAA2,Single Course,Single Course Description,QUTeX CCE Services,TRUE
01t9n0000006ULCAA2,Workshop,,QUTeX CCE Services,TRUE
01t9n0000006ULDAA2,Prescribed Program Plan,"Prescribed Program Plan. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",QUTeX CCE Services,TRUE
01t9n0000006ULEAA2,Flexible Program Plan,"Prescribed Program Plan. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",QUTeX CCE Services,TRUE
