_,Id,ValidationStatus,PublishStatus,VersionNumber,IsLatestVersion,IsVisibleInApp,IsVisibleInPkb,IsVisibleInCsp,IsVisibleInPrm,Language,Title,UrlName,ArchivedDate,ArchivedById,Summary,NextReviewDate,LargeLanguageModel,ArticleNumber,FirstPublishedDate,LastPublishedDate,ArticleArchivedById,ArticleArchivedDate,ArticleCaseAttachCount,ArticleCreatedById,ArticleCreatedDate,ArticleTotalViewCount,SourceId,AssignedToId,AssignedById,AssignmentDate,AssignmentDueDate,AssignmentNote,MigratedToFromArticleVersion,Article_Details__c
[Knowledge__kav],ka0Bn0000006CxlIAE,Not Validated,Online,2,TRUE,TRUE,FALSE,FALSE,FALSE,en_US,Test Summer Release Regression 2024.1,Test-Summer-Release-Regression-2024-1,,,,,,1247,2024-05-21T00:05:13.000+0000,2024-05-21T00:07:41.000+0000,,,0,005Bn000006pUtTIAU,2024-05-20T23:55:41.000+0000,3,,,,,,,,Test
[Knowledge__kav],ka0Om0000000lrlIAA,Not Validated,Online,1,TRUE,TRUE,FALSE,FALSE,FALSE,en_US,DFS Standard - Further Resources,DFS-Standard-KA,,,,,,1208,2024-02-12T05:14:57.000+0000,2024-02-12T05:14:57.000+0000,,,0,005Om000000Mz4rIAC,2024-02-12T05:12:19.000+0000,60,,,,,,,,"<p>Helpful Resources�</p><p>Explore these helpful resources if you&#39;re uncertain about your preferred field of study:�</p><ul><li><p><a href=""https://match-my-skills.qut.edu.au/"" target=""_blank"">Match My Skills</a>?provides comprehensive information about careers, study areas and future employment opportunities in those areas, as well as links to courses related to each career area.�</p></li><li><p><a href=""https://myfuture.edu.au/"" target=""_blank"">My Future</a>�can assist you in taking the first steps to managing your career, build your career profile, and discover your strengths to help make the right career decisions.�</p></li><li><p><a href=""https://www.qilt.edu.au/"" target=""_blank"">Quality Indicators for Learning and Teaching (QILT)</a>�is useful to compare undergraduate &amp; postgraduate coursework student experience and graduate employment.�</p></li><li><p><a href=""https://www.courseseeker.edu.au/"" target=""_blank"">Course Seeker</a>�also assists with the above.��</p></li><li><p><a href=""https://joboutlook.gov.au/"" target=""_blank"">Job Outlook</a>?helps you in making decisions about study and training, your first job, or the next step in your career.�</p></li></ul>"
[Knowledge__kav],ka0Om0000000OiHIAU,Not Validated,Online,1,TRUE,TRUE,FALSE,FALSE,FALSE,en_US,Book a call,Book-a-call,,,,,,1207,2023-12-18T01:26:45.000+0000,2023-12-18T01:26:45.000+0000,,,2,005Om000000NQ6gIAG,2023-12-18T01:26:36.000+0000,8,,,,,,,,"<span style=""font-size: 10.5pt;""><span style=""font-family: Arial,sans-serif;""><span style=""font-size: 11.0pt;""><span style=""color: black;"">Thank you for getting in touch with us! We�d be more than happy to chat with you about your options and studying at QUT. </span></span></span></span><br><br><span style=""font-size: 10.5pt;""><span style=""font-family: Arial,sans-serif;""><span style=""font-size: 11.0pt;""><span style=""color: black;"">Our International Future Student Advisors are available Monday � Friday, 8:30am � 4:30pm. <b>Calls will be made during Brisbane time (AEST). </b></span></span></span></span><br><br><a id=""pre-timely-form"" href=""https://www.qut.edu.au/study/need-advice#"" target=""_blank"">Book now</a>"
[Knowledge__kav],ka0Om0000000OgfIAE,Not Validated,Online,1,TRUE,TRUE,FALSE,FALSE,FALSE,en_US,Did not connect,Did-not-connect,,,,,,1206,2023-12-18T01:25:45.000+0000,2023-12-18T01:25:45.000+0000,,,0,0058q000000I8fsAAC,2023-12-18T01:25:35.000+0000,0,,,,,,,,"<span style=""font-size: 10.5pt;""><span style=""font-family: Arial,sans-serif;""><b><span style=""font-size: 11.0pt;"">Looks like we couldn&#39;t connect! Let&#39;s reschedule.</span></b></span></span><br><br><span style=""font-size: 10.5pt;""><span style=""font-family: Arial,sans-serif;""><span style=""font-size: 11.0pt;""><span style=""color: black;"">Thank you for booking a call with us. Unfortunately, we were unable to connect with you at your booked time.</span></span></span></span><br><br><span style=""font-size: 11.0pt;""><span style=""font-family: &quot;Arial&quot;,sans-serif;""><span style=""color: black;"">I can see that you were wanting to chat to us about <span style=""background: #a8d08d;"">topic</span>.</span></span></span>"
[Knowledge__kav],ka0Om0000000Of3IAE,Not Validated,Online,1,TRUE,TRUE,FALSE,FALSE,FALSE,en_US,Reschedule required,Reschedule-required,,,,,,1205,2023-12-18T01:24:18.000+0000,2023-12-18T01:24:18.000+0000,,,0,0058q000000I8fsAAC,2023-12-18T01:24:08.000+0000,0,,,,,,,,"<span style=""font-size: 10.5pt;""><span style=""font-family: Arial,sans-serif;""><b><span style=""font-size: 11.0pt;"">Looks like we need to reschedule your booking</span></b></span></span><br><br><span style=""font-size: 10.5pt;""><span style=""font-family: Arial,sans-serif;""><span style=""font-size: 11.0pt;""><span style=""color: black;"">Thank you for booking a call with us. We were super excited to chat with you today, however, due to unforeseen circumstances, we will be unable to contact you during your scheduled time.</span></span></span></span><br><br><span style=""font-size: 10.5pt;""><span style=""font-family: Arial,sans-serif;""><span style=""font-size: 11.0pt;""><span style=""color: black;"">I have rescheduled your appointment to <span style=""background: #a8d08d;"">12:30pm</span> Australian Eastern Standard Time (Brisbane time) <b><span style=""background: #a8d08d;"">today</span></b>. If this time does not work for you, please </span></span><a href=""https://bit.ly/3LtsKxj"" style=""color: #0563c1;text-decoration: underline;"" target=""_blank""><span style=""font-size: 11.0pt;"">book another call back</span></a><u> </u><span style=""font-size: 11.0pt;""><span style=""color: black;"">at a suitable time.</span></span></span></span><br><br><span style=""font-size: 11.0pt;""><span style=""font-family: &quot;Arial&quot;,sans-serif;""><span style=""color: black;"">I am so sorry for any inconvenience this causes and I look forward to chatting with you shortly.</span></span></span>"
[Knowledge__kav],ka0Om0000000OdRIAU,Not Validated,Online,1,TRUE,TRUE,FALSE,FALSE,FALSE,en_US,Appointment Follow up,Appointment-Follow-up,,,,,,1204,2023-12-18T01:23:54.000+0000,2023-12-18T01:23:54.000+0000,,,0,005Om000000NQ6gIAG,2023-12-18T01:23:44.000+0000,0,,,,,,,,"<span style=""font-size: 10.5pt;""><span style=""font-family: Arial,sans-serif;""><b><span style=""font-size: 11.0pt;""><span style=""color: black;"">It was great chatting with you!</span></span></b></span></span><br><br><span style=""font-size: 11.0pt;""><span style=""font-family: &quot;Arial&quot;,sans-serif;""><span style=""color: black;"">It was great chatting with you today about <span style=""background: #a8d08d;"">topic</span>. So you can find out more, I�ve included additional information and helpful resources below. </span></span></span>"
[Knowledge__kav],ka0Om0000000ObpIAE,Not Validated,Online,1,TRUE,TRUE,FALSE,FALSE,FALSE,en_US,Postgraduate Engineering,Postgraduate-Engineering,,,,,,1203,2023-12-18T01:22:43.000+0000,2023-12-18T01:22:43.000+0000,,,0,0058q000000I8fsAAC,2023-12-18T01:22:06.000+0000,6,,,,,,,,"<span style=""font-size: 11.0pt;""><span style=""font-family: &quot;Arial&quot;,sans-serif;""><span style=""color: black;"">You recently requested a call back to discuss the <span style=""background: yellow;"">Master of Robotics and Artificial Intelligence</span>.<br><br>Please�</span></span></span><span style=""font-size: 10.5pt;""><span style=""font-family: &quot;Arial&quot;,sans-serif;""><a href=""https://bit.ly/3LtsKxj"" style=""color: #0563c1;text-decoration: underline;"" target=""_blank""><span style=""font-size: 11.0pt;""><span style=""color: #0563c1;"">book a call�</span></span></a></span></span><span style=""font-size: 11.0pt;""><span style=""font-family: &quot;Arial&quot;,sans-serif;""><span style=""color: black;"">and select a time that is suitable for you.<br><br>One of our international student advisors will call you back.</span></span></span>"
[Knowledge__kav],ka0Om0000000OaDIAU,Not Validated,Online,1,TRUE,TRUE,FALSE,FALSE,FALSE,en_US,Change of course,Change-of-course,,,,,,1202,2023-12-18T01:08:03.000+0000,2023-12-18T01:08:03.000+0000,,,0,0058q000000I8fsAAC,2023-12-18T01:07:53.000+0000,3,,,,,,,,"<span style=""font-size: 10.5pt;""><span style=""font-family: Arial,sans-serif;""><span style=""font-size: 11.0pt;""><span style=""color: black;"">As an international student, you will need to submit a new application online through the </span></span><a href=""https://bit.ly/InternationalApplyNow"" style=""color: #0563c1;text-decoration: underline;"" target=""_blank""><span style=""font-size: 11.0pt;"">Application Portal</span></a><span style=""font-size: 11.0pt;""><span style=""color: black;"">. Be sure to include your QUT student ID number. </span></span></span></span><br><br><span style=""font-size: 10.5pt;""><span style=""font-family: Arial,sans-serif;""><span style=""font-size: 11.0pt;""><span style=""color: black;"">Please note this may impact your CoE, OSHC and Visa documents. </span></span></span></span><br><br><span style=""font-size: 10.5pt;""><span style=""font-family: Arial,sans-serif;""><span style=""font-size: 11.0pt;""><span style=""color: black;"">For more information and support, please contact Student Services on </span></span><a href=""mailto:studentsupport@qut.edu.au"" style=""color: #0563c1;text-decoration: underline;"" target=""_blank""><span style=""font-size: 11.0pt;"">studentsupport@qut.edu.au</span></a><span style=""font-size: 11.0pt;""><span style=""color: black;""> or 3138 2019. </span></span></span></span><br><span style=""font-size: 10.5pt;""><span style=""font-family: Arial,sans-serif;"">��</span></span><br><span style=""font-size: 11.0pt;""><span style=""font-family: &quot;Arial&quot;,sans-serif;""><span style=""color: black;"">We wish you all the best with your studies at QUT.</span></span></span>"
[Knowledge__kav],ka0Om0000000OYbIAM,Not Validated,Online,1,TRUE,TRUE,FALSE,FALSE,FALSE,en_US,Change major,Change-major,,,,,,1201,2023-12-18T01:00:47.000+0000,2023-12-18T01:00:47.000+0000,,,0,0058q000000I8fsAAC,2023-12-18T01:00:37.000+0000,1,,,,,,,,"<span style=""font-size: 11.0pt;""><span style=""font-family: &quot;Arial&quot;,sans-serif;"">To </span></span><span style=""font-size: 10.5pt;""><span style=""font-family: &quot;Arial&quot;,sans-serif;""><a href=""https://qutvirtual4.qut.edu.au/group/student/enrolment/change-your-course-or-major/change-your-major#web-content-display_4404152_4798170"" style=""color: #0563c1;text-decoration: underline;"" target=""_blank""><span style=""font-size: 11.0pt;"">change your major</span></a></span></span><span style=""font-size: 11.0pt;""><span style=""font-family: &quot;Arial&quot;,sans-serif;""> as a current student, you will need to submit a change of major form. You can </span></span><span style=""font-size: 10.5pt;""><span style=""font-family: &quot;Arial&quot;,sans-serif;""><a href=""https://qutvirtual4.qut.edu.au/group/qut/contact/faculty-student-contacts"" style=""color: #0563c1;text-decoration: underline;"" target=""_blank""><span style=""font-size: 11.0pt;"">contact your faculty</span></a></span></span><span style=""font-size: 11.0pt;""><span style=""font-family: &quot;Arial&quot;,sans-serif;""> for advice about changing your major.</span></span>"
[Knowledge__kav],ka0Om0000000Nr4IAE,Not Validated,Online,1,TRUE,TRUE,FALSE,FALSE,FALSE,en_US,Academic Exclusion,Academic-Exclusion,,,,,,1200,2023-12-18T01:00:07.000+0000,2023-12-18T01:00:07.000+0000,,,0,0058q000000I8fsAAC,2023-12-18T00:59:58.000+0000,0,,,,,,,,"<span style=""font-size: 10.5pt;""><span style=""font-family: Arial,sans-serif;""><span style=""font-size: 11.0pt;"">If you received an academic exclusion, you must wait 12 months from your exclusion before you can apply to come back. When you do apply, you must include the proper supporting documents.</span></span></span><br><span style=""font-size: 10.5pt;""><span style=""font-family: Arial,sans-serif;""><span style=""font-size: 11.0pt;"">Supporting documents include:</span></span></span><ul><li><span style=""font-size: 10.5pt;""><span style=""tab-stops: list 36.0pt;""><span style=""font-family: Arial,sans-serif;""><span style=""font-size: 11.0pt;"">a written statement outlining why you should be allowed to return to QUT, including how you have overcome the circumstances that led to your exclusion</span></span></span></span></li><li><span style=""font-size: 10.5pt;""><span style=""tab-stops: list 36.0pt;""><span style=""font-family: Arial,sans-serif;""><span style=""font-size: 11.0pt;"">any documentation that supports your statement, including transcripts from study, references from employers or letters from your doctor.</span></span></span></span></li></ul><span style=""font-size: 10.5pt;""><span style=""font-family: Arial,sans-serif;""><span style=""font-size: 11.0pt;"">You need to submit a new application for your course, including all supporting documents. You must apply by:</span></span></span><ul><li><span style=""font-size: 10.5pt;""><span style=""tab-stops: list 36.0pt;""><span style=""font-family: Arial,sans-serif;""><span style=""font-size: 11.0pt;"">19 December to start in Semester 1</span></span></span></span></li><li><span style=""font-size: 11.0pt;""><span style=""font-family: &quot;Arial&quot;,sans-serif;"">20 May to start in Semester 2</span></span></li></ul>"
