_,Id,Name,hed__Course__c,hed__Term__c,hed__Capacity__c,hed__End_Date__c,hed__Facility__c,hed__Faculty__c,hed__Section_ID__c,hed__Start_Date__c,Action_Required__c,Administrative_Support__c,Available_Seats__c,Checkout_Cart_Items_Count__c,Content_Challenged_Thinking__c,Course_Code__c,Delivery_Type__c,Develop_Topic_Insights__c,Effective_Learning_Activities__c,Evaluation_Summary__c,Evaluation_Type__c,External_Key__c,Facilitator_Knowledge__c,Facilities_Catering__c,IsActive__c,LMS_Integration_Status__c,LMS_Quality__c,Minimum_Participants__c,On_Hold_Seat__c,Overall_Experience__c,Peer_Engagement__c,Primary_Delivery_Platform__c,Primary_Facilitator__c,Program_Offering__c,Real_World_Learning_Opportunities__c,Registration_End_Date__c,Registration_Start_Date__c,Total_Number_of_Registered_Learners__c,Virtual_Platform_Quality__c,Visible_on_Website__c,Delivery_Mode__c,Migration_Id__c,LMS_Creation_Date__c
[hed__Course_Offering__c],a0B8q000000Ce6cEAC,EUNM0001-20221010-1,a0C8q0000005MuFEAU,a0P8q000000UidnEAC,200,2022-11-20,,,,2022-11-20,,,200,0,,EUNM0001,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2022-09-11,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce6dEAC,EUNM0002-20221010-1,a0C8q0000005MuGEAU,a0PBn000005MbcLMAS,200,2022-11-20,,,,2022-11-20,,,200,,,EUNM0002,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2022-09-11,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce6eEAC,EUNM6390-20221024-1,a0C8q0000005MuHEAU,a0PBn000006INnVMAW,200,2022-12-04,,,,2022-12-04,,,200,0,,EUNM6390,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2022-10-16,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce6fEAC,EUNM6510-20221024-1,a0C8q0000005MuIEAU,a0POm000001KkpsMAC,200,2022-12-04,,,,2022-12-04,,,200,0,,EUNM6510,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2022-10-16,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce6gEAC,EUQM6520-20220801-1,a0C8q0000005MuJEAU,a0POm000001KkptMAC,200,2022-08-28,,,,2022-08-28,,,200,,,EUQM6520,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,Blackboard,a098q0000007pP8AAI,,,2022-07-24,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce6hEAC,EXOS0001-20220611-1,a0C8q0000005MuKEAU,a0POm000001KkpuMAC,25,2022-10-28,a0F8q000000JDODEA4,,,2022-10-28,,,25,,,EXOS0001,Brisbane Classroom,,,,,,,,FALSE,Success,,10,,,,QUT Canvas,a098q0000007pP8AAI,,,2022-06-04,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce6iEAC,EXOS0002-20220611-1,a0C8q0000005MuLEAU,a0POm000001KkpvMAC,25,2022-10-28,a0F8q000000JE5fEAG,,,2022-10-28,,,25,,,EXOS0002,Brisbane Classroom,,,,,,,,FALSE,Success,,10,,,,QUT Canvas,a098q0000007pP8AAI,,,2022-06-04,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce6jEAC,EXOS0003-20220801-1,a0C8q0000005MuMEAU,a0POm000001KkpwMAC,30,2022-12-21,a0F8q000000JE5gEAG,,,2022-12-21,,,30,4,,EXOS0003,Online Classroom,,,,,,,,FALSE,Success,,10,,,,QUT Canvas,a098q0000007pP8AAI,,,2022-09-07,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce6kEAC,EXOS0004-20220629-1,a0C8q0000005MuNEAU,a0POm000001KkpxMAC,25,2022-06-30,a0F8q000000JE5iEAG,,,2022-06-30,,,11,,,EXOS0004,Online Classroom,,,,,,,,FALSE,,,10,,,,No LMS,a098q0000007pP8AAI,,,2022-06-22,2022-05-01,14,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce6lEAC,EXOS0005-20220517-1,a0C8q0000005MuOEAU,a0POm000001KkpyMAC,35,2022-05-17,a0F8q000000JE5jEAG,,,2022-05-17,,,13,,,EXOS0005,Brisbane Classroom,,,,,,,,FALSE,,,10,,,,No LMS,a098q0000007pP8AAI,,,2022-05-13,2022-05-01,22,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce6mEAC,EXOS0005-20221117-1,a0C8q0000005MuPEAU,a0POm000001KkpzMAC,35,2022-11-22,a0F8q000000JE5zEAG,,,2022-11-22,,,16,4,,EXOS0005,Brisbane Classroom,,,,,,,,FALSE,,,8,,,,No LMS,a098q0000007pP8AAI,,,2022-11-20,2022-05-14,19,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce6nEAC,EXOS0006-20221011-1,a0C8q0000005MuQEAU,a0POm000001Kkq0MAC,25,2022-10-19,a0F8q000000JE60EAG,,,2022-10-19,,,25,1,,EXOS0006,Online Classroom,,,,,,,,FALSE,,,8,,,,No LMS,a098q0000007pP8AAI,,,2022-10-05,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce6oEAC,EXOS0007-20220614-1,a0C8q0000005MuREAU,a0POm000001Kkq1MAC,25,2022-06-22,a0F8q000000JE61EAG,,,2022-06-22,,,24,,,EXOS0007,Online Classroom,,,,,,,,FALSE,,,10,,,,No LMS,a098q0000007pP8AAI,,,2022-06-07,2022-05-01,1,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce6pEAC,EXOS0008-20221108-1,a0C8q0000005MuSEAU,a0POm000001Kkq2MAC,25,2022-11-11,a0F8q000000Q9hmEAC,,,2022-11-11,,,21,1,,EXOS0008,Brisbane Classroom,,,,,,,,FALSE,,,8,,,,,a098q0000007pP8AAI,,,2022-11-01,2022-05-01,4,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce6qEAC,EXOS0009-20221013-1,a0C8q0000005MuTEAU,a0POm000001Kkq3MAC,30,2022-10-14,a0FOm0000003wAjMAI,,,2022-10-14,,,17,2,,EXOS0009,Brisbane Classroom,,,,,,,,FALSE,,,10,,,,No LMS,a098q0000007pP8AAI,,,2022-10-05,2022-05-01,13,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce6rEAC,EXOS0010-20221010-1,a0C8q0000005MuUEAU,a0POm000001Kkq4MAC,30,2022-10-12,a0FOm000000WAAjMAO,,,2022-10-12,,,10,9,,EXOS0010,Brisbane Classroom,,,,,,,,FALSE,,,10,,,,No LMS,a098q0000007pP8AAI,,,2022-10-05,2022-05-01,20,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce6sEAC,EXOS0011-20221027-1,a0C8q0000005MuVEAU,a0POm000001Kkq5MAC,35,2022-10-27,a0FOm000000WAAkMAO,,,2022-10-27,,,28,5,,EXOS0011,Brisbane Classroom,,,,,,,,FALSE,,,8,,,,No LMS,a098q0000007pP8AAI,,,2022-10-25,2022-05-01,7,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce6tEAC,EXOS0012-20220606-1,a0C8q0000005MuWEAU,a0POm000001Kkq6MAC,35,2022-06-07,a0FOm000000WAAlMAO,,,2022-06-07,,,7,,,EXOS0012,Brisbane Classroom,,,,,,,,FALSE,,,10,,,,No LMS,a098q0000007pP8AAI,,,2022-06-03,2022-05-01,28,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce6uEAC,EXOS0012-20221031-1,a0C8q0000005MuXEAU,a0POm000001Kkq7MAC,35,2022-11-01,a0FOm000000WAAmMAO,,,2022-11-01,,,5,15,,EXOS0012,Brisbane Classroom,,,,,,,,FALSE,,,10,,,,No LMS,a098q0000007pP8AAI,,,2022-10-28,2022-06-04,30,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce6vEAC,EXOS0013-20220711-1,a0C8q0000005MuYEAU,a0POm000001Kkq8MAC,200,2022-08-07,a0FOm000000WAAnMAO,,,2022-08-07,,,200,5,,EXOS0013,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2022-07-08,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce6wEAC,EXOS0014-20220726-1,a0C8q0000005MuZEAU,a0POm000001Kkq9MAC,35,2022-07-26,a0FOm000000WAAoMAO,,,2022-07-26,,,33,,,EXOS0014,Brisbane Classroom,,,,,,,,FALSE,,,6,,,,No LMS,a098q0000007pP8AAI,,,2022-07-10,2022-05-01,2,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce6xEAC,EXOS0015-20220719-1,a0C8q0000005MuaEAE,a0POm000001KkqAMAS,35,2022-07-19,a0FOm000000WAApMAO,,,2022-07-19,,,21,0,,EXOS0015,Brisbane Classroom,,,,,,,,FALSE,,,8,,,,No LMS,a098q0000007pP8AAI,,,2022-07-17,2022-05-01,14,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce6yEAC,EXOS0016-20220615-1,a0C8q0000005MubEAE,a0POm000001KkqBMAS,35,2022-06-15,a0FOm000000WAAqMAO,,,2022-06-15,,,35,,,EXOS0016,Brisbane Classroom,,,,,,,,FALSE,,,10,,,,No LMS,a098q0000007pP8AAI,,,2022-06-12,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce6zEAC,EXOS0016-20221021-1,a0C8q0000005MucEAE,a0POm000001KkqCMAS,40,2022-10-21,a0FOm000000WAArMAO,,,2022-10-21,,,14,9,,EXOS0016,Brisbane Classroom,,,,,,,,FALSE,,,10,,,,No LMS,a098q0000007pP8AAI,,,2022-10-18,2022-06-13,26,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce70EAC,EXOS0017-20220718-1,a0C8q0000005MudEAE,a0POm000001KkqDMAS,35,2022-10-05,a0FOm000000WAAsMAO,,,2022-10-05,,,26,1,,EXOS0017,Brisbane Classroom,,,,,,,,FALSE,,,8,,,,No LMS,a098q0000007pP8AAI,,,2022-10-03,2022-05-01,9,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce71EAC,EXOS0018-20220620-1,a0C8q0000005MueEAE,a0POm000001KkqEMAS,35,2022-06-21,a0FOm000000WAAtMAO,,,2022-06-21,,,20,,,EXOS0018,Online Classroom,,,,,,,,FALSE,,,8,,,,No LMS,a098q0000007pP8AAI,,,2022-06-18,2022-05-01,15,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce72EAC,EXOS0018-20220927-1,a0C8q0000005MufEAE,a0POm000001KkqFMAS,35,2022-10-25,a0FOm000000WAAuMAO,,,2022-10-25,,,18,7,,EXOS0018,Brisbane Classroom,,,,,,,,FALSE,,,8,,,,No LMS,a098q0000007pP8AAI,,,2022-10-23,2022-05-04,17,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce73EAC,EXOS0020-20220607-1,a0C8q0000005MugEAE,a0POm000001KkqGMAS,25,2022-07-08,a0FOm000000WAAvMAO,,,2022-07-08,,,13,,,EXOS0020,Online Classroom,,,,,,,,FALSE,,,8,,,,No LMS,a098q0000007pP8AAI,,,2022-06-05,2022-05-01,12,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce74EAC,EXOS0021-20220718-1,a0C8q0000005MuhEAE,a0POm000001KkqHMAS,200,2022-08-14,a0FOm000000WAAwMAO,,,2022-08-14,,,184,,,EXOS0021,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,Blackboard,a098q0000007pP8AAI,,,2022-07-15,2022-05-03,16,,FALSE,,,
