_,Id,Name,RecordTypeId,hed__Account__c,Certificate_Type__c,Collaboration_with_External_Organisation__c,Content_Locationv2__c,Core_Conceptsv2__c,CourseLoop_Full_Proposal_URL__c,CourseLoop_Initial_Proposal_URL__c,Course_Code__c,Delivery_Comments__c,Delivery_Support__c,Delivery_Support_v2__c,Delivery_Type__c,Department_Left_Indented__c,Department_Right_Indented__c,Description__c,Design_Form_Status__c,End_Date__c,Canvas_Sub_Account__c,Evolve_with_QUTeXv2__c,External_Key__c,External_Organisation__c,Field_of_Education__c,Implementation_Year__c,IsComplete__c,Is_Curriculum_Approved__c,LMS_Content_Delivery_Location__c,LMS_Integration_Status__c,LMS_Site_URL__c,Left_Signature__c,Location__c,Location_Details__c,LogoUrl__c,Mark_Content_as_Complete__c,Mark_Design_Stage_as_Complete__c,Maximum_Participants__c,Minimum_Participants__c,Module_Category__c,Module_Type__c,More_Detailsv2__c,Name_Left_Indented__c,Name_Right_Indented__c,No_Hours_Per_Session__c,No_Of_Coaching_Sessions__c,No_of_Groups__c,Number_Of_Groups__c,OPE_Design_Complete__c,Other_Content_Delivery_Locationv2__c,Outcomev2__c,Overviewv2__c,Owning_Faculty__c,Owning_School_Discipline_Area__c,Position_Left_Indented__c,Position_Right_Indented__c,Previously_Developed_Content__c,Primary_Delivery_Platform__c,Proposal_Title__c,Provider__c,Recordtype_Name__c,Resource_Details__c,Right_Signature__c,Start_Date__c,Timeline__c,Type_of_Individual_Coaching__c,Unit_Category__c,Unit_Type__c,Volume_of_Learning_hours__c,Who_Should_Participatev2__c,Suggested_Delivery_Dates__c
[hed__Course__c],a0C8q0000005MuFEAU,Innovative Thinking for Teachers & School Leaders: Module Plus,0128q0000004KouAAE,0019n000001yOepAAE,Certificate of Achievement,,,"This Module Plus assessment requires:
-Critical reflection of your learning experiences and processes to inform your development as an educator using entrepreneurial thinking.
-Application of a problem and solution validation framework.
-Creation of innovative, disruptive and future-focused learning goals which support the application of a problem and solution validation process in your context.",https://courseloop.qut.edu.au/courseloop/show#/module-information/2429a3e11b0c0910b55eebd8274bcb10,https://courseloop.qut.edu.au/courseloop/show#/module-information/2429a3e11b0c0910b55eebd8274bcb10,EUNM0001,,,Prework communications,Online,,,Apply an entrepreneurial thinking framework to bring to life an idea that will add value to your school or classroom.,,1930-12-24,QUT College - 143,"Create, innovate and disrupt as you apply an entrepreneurial thinking framework to define a problem and generate an idea that adds value and can be applied to your teaching practices, school or even by your students as a learning activity.",,,,2022,FALSE,TRUE,,Success,,,a0F8q000000JDODEA4,QUT Kelvin Grove,https://qut360--c.documentforce.com/file-asset-public/QUT_Badge_Logo?oid=00D5g000001FDGjEAO,TRUE,TRUE,200,1,,,"Prior to enrolling into the Module Plus course, participants must complete the pre-requisite 13 hour https://www.qut.edu.au/study/professional-and-executive-education/courses/innovative-thinking-for-teachers-and-school-leadersInnovative Thinking for Teachers and School Leaders learning module.
<img src=https://cms.qut.edu.au/__data/assets/image/0003/1009065/EDU_Online-module-pathway-diagram.png alt=EDU Module Pathway width=730 height=115 /
Get future fit. Fast.Interested in other Education courses that follow the same format as this one? Explore each course below:
-https://www.qut.edu.au/study/professional-and-executive-education/courses/creating-apps-in-the-classroomCreating apps in the classroom and the https://www.qut.edu.au/study/professional-and-executive-education/courses/module-plus-creating-apps-in-the-classroomModule Plus extension
-https://www.qut.edu.au/study/professional-and-executive-education/courses/inclusive-education-core-concepts-and-essential-knowledgeInclusive educa",,,,,,,TRUE,,,"This is your opportunity to define and solve a problem that really matters. By refining an idea for innovation, developing a solution and reflecting on your learning experience, you will enhance your ability to prepare students to think differently. You will capture your learning experience in an online journal and prepare an innovation plan that documents your activities, decisions and actions while developing the innovation.",0019h000001wVSgAAM,0019r000002lVbzAAE,,,Yes,QUT Canvas,,,Module,,,2019-01-01,,,,,65,"This online module is for participants who have completed the 13-hour <emInnovative thinking for teachers and school leaders</em learning module. It is designed with a high degree of flexibility to meet your specific professional learning needs.
For Australian educators, this module aligns with the following Australian Professional Standards for Teachers (APST):<br /<img src=https://cms.qut.edu.au/__data/assets/image/0019/1021924/DET-QLD-Preferred-Supplier-2021_sml.png alt=EDU DET Preferred Supplier Logo 2021 width=160 height=160 style=font-size: 0.98em; align=left /
1.1 Physical, social and intellectual development and characteristics of students<br /1.2 Understand how students learn<br /2 Know the content and how to teach it<br /3.1 Establish challenging learning goals<br /3.2 Plan, structure and sequence learning programs<br /3.3 Use teaching strategies<br /3.4 Select and use resources<br /4.1 Support student participation<br / 6 Engage in professional learning.
This online module i",
[hed__Course__c],a0C8q0000005MuGEAU,Creating Apps in the Classroom: Module Plus,0128q0000004KouAAE,0019n000001yOepAAE,Certificate of Achievement,,,"During this online assessment you will:
-Design and develop an educational app that meets a specific learning need.
-Critically reflect on your learning experiences during the app development process to inform your development as a teacher.
-Evaluate the effectiveness of the app and recommend improvements for future designs.",https://courseloop.qut.edu.au/courseloop/show#/module-information/df545fdedbe90910dcabaaf605961942,https://courseloop.qut.edu.au/courseloop/show#/module-information/df545fdedbe90910dcabaaf605961942,EUNM0002,,,Prework communications,Online,,,Design and build an educational app to meet your students’ needs and evaluate its use in your classroom.,,1930-12-24,QUT College - 143,"You will apply your knowledge and skills to build an app and prepare a curriculum or lesson plan explaining how you will implement it in your educational context. After conducting the learning experience, you will evaluate it by gathering feedback from your students and reflecting on what you have learned before documenting your recommendations.",,,,2022,FALSE,TRUE,,Success,,,a0F8q000000JDODEA4,QUT Kelvin Grove,https://qut360--c.documentforce.com/file-asset-public/QUT_Badge_Logo?oid=00D5g000001FDGjEAO,TRUE,TRUE,200,1,,,"Prior to enrolling into the Module Plus course, participants must complete the pre-requisite 13 hour https://www.qut.edu.au/study/professional-and-executive-education/courses/creating-apps-in-the-classroomCreating apps in the classroom learning module.
<img src=https://cms.qut.edu.au/__data/assets/image/0003/1009065/EDU_Online-module-pathway-diagram.png alt=EDU Module Pathway width=730 height=115 /
Get future fit. Fast.Interested in other Education courses that follow the same format as this one? Explore each course below:
-https://www.qut.edu.au/study/professional-and-executive-education/courses/creating-apps-in-the-classroomCreating apps in the classroom and the https://www.qut.edu.au/study/professional-and-executive-education/courses/module-plus-creating-apps-in-the-classroomModule Plus extension
-https://www.qut.edu.au/study/professional-and-executive-education/courses/inclusive-education-core-concepts-and-essential-knowledgeInclusive education: Core concepts and essential knowledg",,,,,,,TRUE,,,"This Module Plus is an opportunity to design, develop and implement an app for the purpose of meeting a specific learning need, encouraging your students to engage with a concept, sharing teaching resources or supporting students in making their own apps. The customised app may be the fulfilment of the prototype you created in the learning module. This is an opportunity to deepen your understanding of how to create and use apps in education through a guided process of design, development, implementation, evaluation, review and reflection.",0019h000001wVSgAAM,0019r000002lVbzAAE,,,Yes,QUT Canvas,,,Module,,,2019-01-01,,,,,65,"This online module is for participants who have completed the 13-hour <emCreating apps in the classroom</em learning module. It provides practitioners with evidence of their professional learning.
For Australian educators, this module aligns with the following Australian Professional Standards for Teachers (APST):<br /<img src=https://cms.qut.edu.au/__data/assets/image/0019/1021924/DET-QLD-Preferred-Supplier-2021_sml.png alt=EDU DET Preferred Supplier Logo 2021 style=font-size: 0.98em; width=160 height=160 align=left /
1.2 Understand how students learn<br /2.6 Information and Communication Technology<br /3.3 Use teaching strategies<br /3.4 Select and use resources<br /4.1 Support student participation<br /4.5 Use ICT safely, responsibly and ethically<br /6.1 Identify and plan professional learning needs<br /6.2 Engage in professional learning and improve practice<br /6.3 Engage with colleagues and improve practice<br /7.4 Engage with professional teaching networks and broader communiti",
[hed__Course__c],a0C8q0000005MuHEAU,Inclusive Education: Core concepts and essential knowledge: Module Plus,0128q0000004KouAAE,0019n000001yOepAAE,Certificate of Achievement,,,"This online assessment provides evidence of your ability to:
-explain the foundational concepts of inclusive education and the practical implications for your networks
-discuss the development of inclusive education and distinguish it from its predecessors
-outline educators' specific obligations in relation to the support of students with a disability under (i) international instruments (e.g., Convention on the Rights of Persons with Disabilities, CRPD Article 24 and General Comment No. 4), and (ii) Australian legislation (1992 Disability Discrimination Act and 2005 Disability Standards for Education).",https://courseloop.qut.edu.au/courseloop/show#/module-information/ef92e79adb6d0910dcabaaf6059619f2,https://courseloop.qut.edu.au/courseloop/show#/module-information/ef92e79adb6d0910dcabaaf6059619f2,EUNM6390,,,Prework communications,Online,,,"Demonstrate your understanding of the history of and concepts underpinning inclusive education, and how these relate to educators’ obligations under international human rights law and Australian legislation.",,1930-12-24,QUT College - 143,"Apply your knowledge of inclusive education history, concepts and legal obligations. Through this assessment module, you will expand and share your knowledge to help others understand what inclusion is and how it differs from integration, segregated special education and exclusion. You will also analyse and discuss educators' legal obligations to support students with a disability.",,,,2022,FALSE,TRUE,,Success,,,a0F8q000000JDODEA4,QUT Kelvin Grove,https://qut360--c.documentforce.com/file-asset-public/QUT_Badge_Logo?oid=00D5g000001FDGjEAO,TRUE,TRUE,200,1,,,"Prior to enrolling into the Module Plus course, participants must complete the pre-requisite 13 hour https://www.qut.edu.au/study/professional-and-executive-education/courses/inclusive-education-core-concepts-and-essential-knowledgeInclusive education: Core concepts and essential knowledge learning module.
<img src=https://cms.qut.edu.au/__data/assets/image/0003/1009065/EDU_Online-module-pathway-diagram.png alt=EDU Module Pathway width=730 height=115 /
Get future fit. Fast.Interested in other Education courses that follow the same format as this one? Explore each course below:
-https://www.qut.edu.au/study/professional-and-executive-education/courses/creating-apps-in-the-classroomCreating apps in the classroom and the https://www.qut.edu.au/study/professional-and-executive-education/courses/module-plus-creating-apps-in-the-classroomModule Plus extension
-https://www.qut.edu.au/study/professional-and-executive-education/courses/inclusive-education-core-concepts-and-essential-knowledgeIn",,,,,,,TRUE,,,"Under Australian legislation and international conventions, educators are obliged to ensure all students access an inclusive education, including students with disability. In this Module Plus, you will complete an authentic assessment using your developing knowledge of inclusive education to evaluate the implications for your practice.
On successful completion of the Module Plus, you will earn credit for a postgraduate unit (six credit points) that will be applied as advanced standing when you enrol in QUT's Graduate Certificate in Education or Master of Education.",0019h000001wVSgAAM,0019r000002lVbzAAE,,,Yes,QUT Canvas,,,Module,,,2019-01-01,,,,,65,"This online module is for participants who have completed the 13 hour<emInclusive education: Core concepts and essential knowledge</em learning module.
For Australian educators, this module aligns with the following Australian Professional Standards for Teachers (APST):<br /<img src=https://cms.qut.edu.au/__data/assets/image/0019/1021924/DET-QLD-Preferred-Supplier-2021_sml.png alt=EDU DET Preferred Supplier Logo 2021 width=160 height=160 style=font-size: 0.98em; align=left /
1.1 Physical, social and intellectual development and characteristics of students<br /1.3 Students with diverse linguistic, cultural, religious and socioeconomic backgrounds<br /1.5 Differentiate teaching to meet the specific learning needs of students across the full range of abilities<br /1.6 Strategies to support full participation of students with disability<br /4.1 Support student participation<br /6.2 Engage in professional learning and improve practice
This online module is open for international enrolments.",
[hed__Course__c],a0C8q0000005MuIEAU,Teaching Students who have suffered Complex trauma: Module Plus,0128q0000004KouAAE,0019n000001yOepAAE,Certificate of Achievement,,,"This online assessment provides evidence of your ability to develop a trauma-aware action plan which:
-supports an individual student
-reviews a school behaviour management policy
-advocates and plans for the professional development of others in trauma-aware schooling
-considers the impact of this learning for your professional practice and plans for your ongoing professional development.",https://courseloop.qut.edu.au/courseloop/show#/module-information/b5042b5edb6d0910dcabaaf605961936,https://courseloop.qut.edu.au/courseloop/show#/module-information/b5042b5edb6d0910dcabaaf605961936,EUNM6510,,,Prework communications,Online,,,"Produce an action plan to use trauma-informed practices to support students, your colleagues and your school.",,1930-12-24,QUT College - 143,Apply your knowledge and understanding of trauma-informed practices to create an action plan for supporting a child or student who has experienced complex trauma. You will evaluate your school's behaviour management policy with the view to encouraging a trauma-aware approach and recommend how staff could develop their awareness of trauma-aware schooling.,,,,2022,FALSE,TRUE,,Success,,,a0F8q000000JDODEA4,QUT Kelvin Grove,https://qut360--c.documentforce.com/file-asset-public/QUT_Badge_Logo?oid=00D5g000001FDGjEAO,TRUE,TRUE,200,1,,,"Prior to enrolling into the Module Plus course, participants must complete the pre-requisite 13 hour https://www.qut.edu.au/study/professional-and-executive-education/courses/teaching-students-who-have-suffered-complex-traumaTeaching Students Who Have Suffered Complex Trauma learning module.
<img src=https://cms.qut.edu.au/__data/assets/image/0003/1009065/EDU_Online-module-pathway-diagram.png alt=EDU Module Pathway width=730 height=115 /
Get future fit. Fast.Interested in other Education courses that follow the same format as this one? Explore each course below:
-https://www.qut.edu.au/study/professional-and-executive-education/courses/creating-apps-in-the-classroomCreating apps in the classroom and the https://www.qut.edu.au/study/professional-and-executive-education/courses/module-plus-creating-apps-in-the-classroomModule Plus extension
-https://www.qut.edu.au/study/professional-and-executive-education/courses/inclusive-education-core-concepts-and-essential-knowledgeInclusive educati",,,,,,,TRUE,,,"In this Module Plus, you'll complete an assessment based on your experiences or context that can be applied in your own school setting or workplace. Students who have lived through very difficult or traumatic life circumstances may present challenging behaviour at school and need help to self-regulate emotions and manage their relationships. In this assessment module, you will plan how to support a child or student in this situation to minimise the frequency of crisis events and ensure they are managed appropriately.
On successful completion of the Module Plus, you'll earn credit for apostgraduate unit (six credit points)that will be applied as advanced standing when you enrol in QUT's Graduate Certificate in Education or Master of Education.",0019h000001wVSgAAM,0019r000002lVbzAAE,,,Yes,QUT Canvas,,,Module,,,2019-01-01,,,,,65,"This online module is for participants who have completed the 13 hour <emTeaching Students Who Have Suffered Complex Trauma </emlearning module.
The Module Plus is designed for participants who want to apply the knowledge they acquired in the first module by completing an authentic assessment that can be used in their workplace.
For Australian educators, this module aligns with the following Australian Professional Standards for Teachers (APST):<br /<img src=https://cms.qut.edu.au/__data/assets/image/0019/1021924/DET-QLD-Preferred-Supplier-2021_sml.png alt=EDU DET Preferred Supplier Logo 2021 width=160 height=160 style=font-size: 0.98em; align=left /
1.1 Physical, social and intellectual development and characteristics of students<br /1.2 Understand how students learn<br /1.5 Differentiate teaching to meet the specific learning needs of students across the full range of abilities<br /3.5 Use effective classroom communication<br /4.1 Support student participation<br /4.3 Manage challeng",
[hed__Course__c],a0C8q0000005MuJEAU,Inclusive Strategies for the Autism Spectrum: Module Plus,0128q0000004KouAAE,0019n000001yOepAAE,Certificate of Achievement,,,"This online assessment provides evidence of your ability to:
-Critically analyse the key learning characteristics and behavioural features of children and adolescents on the autism spectrum.
-Apply your understanding of these characteristics to develop a support plan with appropriate universal strategies for the inclusion of learners with autism.
-Develop skills for effective communication about the inclusion of students with autism with professional and non-professional audiences.",https://courseloop.qut.edu.au/courseloop/show#/module-information/5b48eb16dbad0910dcabaaf605961992,https://courseloop.qut.edu.au/courseloop/show#/module-information/5b48eb16dbad0910dcabaaf605961992,EUQM6520,,,Prework communications,Online,,,Draw from your understanding of the characteristics of the autism spectrum and Universal Design for Learning (UDL) to develop a plan using inclusive strategies for learners on the autism spectrum.,,2023-11-23,,"Through this assessment module, you will expand your knowledge of how to support the inclusion of children and adolescents on the autism spectrum in your field of practice. You will analyse potential barriers in your context and apply appropriate universal teaching strategies to eliminate these barriers to strengthen the engagement and participation of learners with autism.",,,,2023,FALSE,TRUE,,Success,,,a0F8q000000JDODEA4,QUT Kelvin Grove,https://qut360--c.documentforce.com/file-asset-public/QUT_Badge_Logo?oid=00D5g000001FDGjEAO,TRUE,TRUE,200,1,,,"Prior to enrolling into the Module Plus course, participants must complete the pre-requisite 13 hour https://www.qut.edu.au/study/professional-and-executive-education/courses/inclusive-strategies-for-the-autism-spectrumInclusive strategies for the autism spectrum learning module.
<img src=https://cms.qut.edu.au/__data/assets/image/0003/1009065/EDU_Online-module-pathway-diagram.png alt=EDU Module Pathway width=730 height=115 /
Get future fit. Fast.Interested in other Education courses that follow the same format as this one? Explore each course below:
-https://www.qut.edu.au/study/professional-and-executive-education/courses/creating-apps-in-the-classroomCreating apps in the classroom and the https://www.qut.edu.au/study/professional-and-executive-education/courses/module-plus-creating-apps-in-the-classroomModule Plus extension
-https://www.qut.edu.au/study/professional-and-executive-education/courses/inclusive-education-core-concepts-and-essential-knowledgeInclusive education: Core con",,,,,,,TRUE,,,"Despite a rapid expansion in autism research, providing effective support for children and adolescents on the autism spectrum in inclusive settings continues to be acknowledged as a persisting challenge for educators, parents/carers, specialist and support staff. In this Module Plus you will apply your understanding of the autism spectrum and UDL to create a plan for including children and adolescents on the autism spectrum in your field of practice.",0019h000001wVSgAAM,0019r000002lVbzAAE,,,Yes,Blackboard,,,Module,,,2019-01-01,,,,,62,"This online module is for participants who have completed the <em13-hour Inclusive strategies for the autism spectrum</em learning module.
The Module Plus is designed for practitioners who want to apply the knowledge they acquired in the learning module by completing an authentic assessment.
For Australian educators, this module aligns with the following Australian Professional Standards for Teachers (APST):<br /<img src=https://cms.qut.edu.au/__data/assets/image/0019/1021924/DET-QLD-Preferred-Supplier-2021_sml.png alt=EDU DET Preferred Supplier Logo 2021 style=font-size: 0.98em; width=160 height=160 align=left /
1.1 Physical, social and intellectual development and characteristics of students<br /1.3 Students with diverse linguistic, cultural, religious and socioeconomic backgrounds<br /1.5 Differentiate teaching to meet the specific learning needs of students across the full range of abilities<br /1.6 Strategies to support full participation of students with disability<br /4.1 Suppor",
[hed__Course__c],a0C8q0000005MuKEAU,AMP it Up! Drama,0128q0000004KoxAAE,0019n000001yOepAAE,Certificate of Participation,,,"By undertaking this 8-week course, students will:
-Build knowledge and understanding of drama according to The Australian Curriculum  the Arts F-6, and of an Arts Immersion approach
-Develop skills in teaching, demonstrating, and collaboratively planning authentic learning experiences that reflect subject-specific content from one arts subject and an Arts Immersion approach
-Develop skills in sourcing and creating appropriate resources to support learning within an arts subject and in using an Arts Immersion approach",,,EXOS0001,,,,Face to Face,,,"An eight-week professional development experience for primary school arts teachers, to build knowledge and skills in the arts discipline of drama and in an Arts Immersion approach, under the direction of specialist education and creative industries experts from QUT.",,1930-12-24,QUT College - 143,"-What is an Arts Immersion approach, and the role of an Arts Mentor Practitioner
-Participants develop subject-specific (e.g. drama) and Arts Immersion knowledge and skills
-Four two-hour face-to-face workshops involve engagement with practical group activities based on an arts subject and an Arts Immersion approach, sharing ideas through professional discussions, and collaborative planning of authentic learning experiences
-Four weeks of online learning will draw on learning materials from a QUT BlackBoard site which will be based on the prescribed textbook for the course: <emDelivering Authentic Arts Education (4<supth</sup ed.)</em by Judith Dinham
-Sharing of ideas and resources amongst participants
-Activities and planning will refer to the Australian Curriculum  The Arts F-6
-Participants develop, source and share appropriate resources to support the design of authentic learning experiences
-Participants engage in professional discussions regarding teaching practice and experienc",,,,2023,FALSE,FALSE,,Success,,,a0F8q000000JDODEA4,QUT Kelvin Grove,https://qut360--c.documentforce.com/file-asset-public/QUT_Badge_Logo?oid=00D5g000001FDGjEAO,TRUE,TRUE,30,10,,,,,,,,,,TRUE,,,"Designed to equip Primary school teachers to teach drama in line with the Australian P-6 Curriculum.
At the end of the AMP It Up! module, teachers will take away a portfolio of Arts Immersion (e.g. integrated drama) and subject-specific (e.g. drama as a specialist subject) teaching strategies, a compilation of participants' ideas and shared experience, collaboratively designed learning experiences, and a collection of supporting resources.
Approved for 18 hours' professional learning in line with the Australian Professional Standards for Teachers.",0019h000001wVSgAAM,0019r000002lVbzAAE,,,,QUT Canvas,,,Short Course,,,2019-01-01,,,,,19.5,,
[hed__Course__c],a0C8q0000005MuLEAU,AMP it Up! Visual Art,0128q0000004KoxAAE,0019n000001yOepAAE,Certificate of Participation,,,"By undertaking this 8-week course, students will:
-Build knowledge and understanding of visual art according to The Australian Curriculum  the Arts F-6, and of an Arts Immersion approach
-Develop skills in teaching, demonstrating, and collaboratively planning authentic learning experiences that reflect subject-specific content from one arts subject and an Arts Immersion approach
-Develop skills in sourcing and creating appropriate resources to support learning within an arts subject and in using an Arts Immersion approach",,,EXOS0002,,,,Face to Face,,,"An eight-week professional development experience for primary school arts teachers, to build knowledge and skills in the arts discipline of visual art and in an Arts Immersion approach, under the direction of specialist education and creative industries experts from QUT.",,1930-12-24,QUT College - 143,"-What is an Arts Immersion approach, and the role of an Arts Mentor Practitioner
-Participants develop subject-specific (e.g. visual art) and Arts Immersion knowledge and skills
-Four two-hour face-to-face workshops involve engagement with practical group activities based on an arts subject and an Arts Immersion approach, sharing ideas through professional discussions, and collaborative planning of authentic learning experiences
-Four weeks of online learning will draw on learning materials from a QUT BlackBoard site which will be based on the prescribed textbook for the course: <emDelivering Authentic Arts Education (4<supth</sup ed.)</em by Judith Dinham
-Sharing of ideas and resources amongst participants
-Activities and planning will refer to the Australian Curriculum  The Arts F-6
-Participants develop, source and share appropriate resources to support the design of authentic learning experiences
-Participants engage in professional discussions regarding teaching practice and expe",,,,2023,FALSE,FALSE,,Success,,,a0F8q000000JDODEA4,QUT Kelvin Grove,https://qut360--c.documentforce.com/file-asset-public/QUT_Badge_Logo?oid=00D5g000001FDGjEAO,TRUE,TRUE,30,10,,,,,,,,,,TRUE,,,"Designed to equip Primary school teachers to teach visual arts in line with the Australian P-6 Curriculum.
At the end of the AMP It Up! module, teachers will take away a portfolio of Arts Immersion (e.g. integrated drama) and subject-specific (e.g. visual art as a specialist subject) teaching strategies, a compilation of participants' ideas and shared experience, collaboratively designed learning experiences, and a collection of supporting resources.
Approved for 18 hours' professional learning in line with the Australian Professional Standards for Teachers.",0019h000001wVSgAAM,0019r000002lVbzAAE,,,,QUT Canvas,,,Short Course,,,2019-01-01,,,,,19.5,,
[hed__Course__c],a0C8q0000005MuMEAU,Associate Fellow (Indigenous Knowledges) of the Higher Education Academy,0128q0000004KoxAAE,0019n000001yOepAAE,Certificate of Participation,,,,,,EXOS0003,,,Prework communications,Virtual Classroom,,,Explore ways to successfully engage with and integrate Indigenous perspectives into your approaches to teaching and learning within a Higher Education context.,,1930-12-24,QUTeX - 125,,,,,2023,FALSE,FALSE,,Success,,,a0F8q000000JDODEA4,QUT Kelvin Grove,https://qut360--c.documentforce.com/file-asset-public/QUT_Badge_Logo?oid=00D5g000001FDGjEAO,TRUE,TRUE,30,10,,,,,,,,,,TRUE,,,"This course will provide you with an understanding and starting point in how to embed Indigenous perspectives into your educational practice. It addresses key principles underpinning the sovereignty of Aboriginal and Torres Strait Islander Peoples in Australia, and uses a Rights-based pedagogical framework to reflect on the importance of integrating Indigenous perspectives throughout the curriculum. You will undertake your learning through a process of reflection, inquiry, collaboration and connection with peers.

This course provides a pathway to apply for the world-first accredited specialist Associate Fellow (Indigenous Knowledges) of the HEA which recognises your effective integration of Indigenous perspectives into specific areas of educational activity.",0019h000001wVSgAAM,0019r000002lVbzAAE,,,Yes,QUT Canvas,,,Short Course,,,2019-01-01,,,,,6.5,,
[hed__Course__c],a0C8q0000005MuNEAU,AusHSI Health Statistics Refresher,0128q0000004KoxAAE,0019n000001yOepAAE,Certificate of Participation,,,"By undertaking this course, students will:
-Understand and repeat a sample size calculation;
-Understand the mean of p-values and confidence intervals;
-Understand the normal assumption and where it needs to be applied;
-Understand the value of randomised controlled trials;
-Understand the value of pre-post designs.",,,EXOS0004,,,Prework communications,Virtual Classroom,,,This short course will cover many of the common mistakes in statistical practice in health and medical research.,,1930-12-24,,"This short course is proudly delivered by https://www.aushsi.org.au/The Australian Centre for Health Services Innovation (AusHSI)
<img src=https://cms.qut.edu.au/__data/assets/image/0006/1098933/AusHSI-logo2.jpg alt=AusHSI Logo width=500 height=100 style=margin: 1em auto; display: block; /",,,,2022,FALSE,FALSE,,,,,a0F8q000000JDODEA4,QUT Kelvin Grove,https://qut360--c.documentforce.com/file-asset-public/QUT_Badge_Logo?oid=00D5g000001FDGjEAO,FALSE,TRUE,25,12,,,"<h5 id=customised-and-contextualised-for-your-organisationCustomised and contextualised for your organisationQUTeX can work closely with your organisation to develop and deliver learning solutions to help build capability and achieve your specific business objectives.
Join a growing community of leading Australian organisations creating results-driven learning solutions with QUTeX, in industries including government, financial and professional services, health and community, construction and mining, retail, education, agribusiness and more.https://www.qut.edu.au/study/professional-and-executive-education/get-your-team-future-fit-fastGet started today.",,,,,,,TRUE,,,"Many health and medical researchers use experiments in their research in order to improve treatments and patient care. These experiments rely on researchers collecting high quality data and understanding what statistical methods to use. Sadly, many researchers have only had rudimentary training in statistics and often this training comes from non-statisticians. Bad practice has been cemented by journals that rarely use statistical reviewers.
Professor Barnett has extensive experience with the most common issues in &ldquo;bad statistics&rdquo; and has designed this course to bust many of the myths in statistical practice.
This course will cover:
-common mistakes in study designs and statistical analyses;
-sample size;
-statistical significance (p&lt;0.05) and confidence intervals;
-non-parametric versus parametric tests;
-the Normal assumption;
-the basics of causal diagrams;
-randomised controlled trials;
-intention-to-treat;
-pre-post designs (before and after studies).",0019h000001wVSgAAM,0019r000002lVbzAAE,,,Yes,No LMS,,,Short Course,,,2019-01-01,,,,,6.5,"This statistics refresher course is for people who have had some practical experience with statistics or some undergraduate statistics training. The course focuses on simple study designs and some common mistakes, with a range of practical exercises throughout the 2 sessions. This course is designed for healthcare professionals (all levels of experience and background are welcome), policy makers, academics and students.
Prof. Barnett regularly receives positive feedback from clinical researchers on how the training has led to permanent changes in their research practice.",
[hed__Course__c],a0C8q0000005MuOEAU,Building a High-Performing Team: The Eight Characteristics of Winning Teams,0128q0000004KoxAAE,0019n000001yOepAAE,Certificate of Participation,,,"This 1-day course covers a range of topics, including:
-What business can learn from the world's greatest sporting teams;
-How to develop robust team relationships: the key to high-performance;
-The three key elements of team relationships;
-The team identity model; and
-Buffering, bridging, and building.",,,EXOS0005,,,Catering;Name Badges;Workbook Printed;Handouts Printed;Prework communications,Face to Face,,,Learn the secrets of the All Blacks winning team formula and spark your team's high-performance potential.,,1930-12-24,,"QUTeX is revolutionising professional development through leveraging the university's research and expertise to provide professionals with skills today to use tomorrow. Based on Dr Tim Baker's latest book, this course will teach participants how to apply practical, research-based tools and contemporary thinking to develop their team for high performance.",,,,2022,FALSE,FALSE,,,,,a0F8q000000JDODEA4,QUT Kelvin Grove,https://qut360--c.documentforce.com/file-asset-public/QUT_Badge_Logo?oid=00D5g000001FDGjEAO,FALSE,TRUE,35,8,,,"<span calibri=Customised and contextualised for your organisation</spanQUTeX can work closely with your organisation to develop and deliver learning solutions to help build capability and achieve your specific business objectives.
Join a growing community of leading Australian organisations creating results-driven learning solutions with QUTeX, in industries including government, financial and professional services, health and community, construction and mining, retail, education, agribusiness and more. https://www.qut.edu.au/study/professional-and-executive-education/get-your-team-future-fit-fastGet started today.
<span calibri=QUTeX Professional Advantage Package</span<span style=font-size:11.0pt;font-family: calibri= </span
This exclusive package enables you to immerse yourself and your team in fresh ideas and ground-breaking business thinking through QUT's real world learning. Through Professional Advantage, you'll gain access to constantly evolving course content in the QUTeX Prof",,,,,,,TRUE,,,"The cornerstone to a high performing team is a strong group identity. Purposely built by great teams, winning identities aren't products of chance. This course takes the guesswork out of building successful teams.",0019h000001wVSgAAM,0019r000002lVbzAAE,,,Yes,No LMS,,,Short Course,,,2019-01-01,,,,,6.5,This online course is for team leaders and middle managers wanting to propel their team's performance.,
