_,Id,Name,RecordTypeId,hed__Description__c,hed__End_Date__c,hed__Is_Primary__c,hed__Start_Date__c,hed__Status__c,hed__Total_Required_Credits__c,Accreditation_End_Date__c,Accreditation_Start_Date__c,Blue_Card_Required__c,Certificate_Type__c,Code__c,Collaboration_with_External_Organisation__c,Completion_Requirements__c,Core_Conceptsv2__c,Courseloop_Full_URL__c,Courseloop_Initital_URL__c,Delivery_Type__c,Designated_Units__c,Early_Exit_Options__c,Evolve_with_QUTeXv2__c,External_Organisation_Details__c,Field_of_Education__c,Implementation_Year__c,IsComplete__c,Location_Details__c,Location__c,Mark_Design_Stage_as_Complete__c,Maximum_Participants__c,Minimum_Participants__c,More_Detailsv2__c,OPE_Design_Complete__c,Other_Completion_Requirements__c,Overviewv2__c,Owning_Faculty__c,PP_Design_Form_Status__c,PP_Is_curriculum_approved__c,Product_Request__c,Program_Delivery_Structure__c,Program_Type__c,Type__c,Volume_of_Learning_Hours__c,Who_Should_Participatev2__c,LogoUrl__c,Description__c
[hed__Program_Plan__c],a0K8q000000XcF2EAK,Test Ana,0128q0000004LGBAA2,,2022-11-08,FALSE,2022-10-07,Current,,,,FALSE,,EXOPWP0604,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,,Prescribed Program,,,,,https://qut360.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00D5g000001FDGjEAO,a
[hed__Program_Plan__c],a0K8q000000XfX1EAK,DEPP-4557 PWP Test,0128q0000004LGBAA2,,2022-11-09,FALSE,2022-10-09,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,,Flexible Program,,,,,https://qut360.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00D5g000001FDGjEAO,a
[hed__Program_Plan__c],a0K8q000000elFCEAY,QLD Health Next Generation Program 2023,0128q0000004Kp0AAE,,2023-03-24,FALSE,2023-02-22,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00D5g000001FDGjEAO,a
[hed__Program_Plan__c],a0K8q000000aZQ0EAM,EzyQuip Strategic Leaders' Program,0128q0000004LGBAA2,TBC,2023-11-31,FALSE,2022-10-18,Current,,,,FALSE,Certificate of Participation,EXCPWP0602,No,,,,,Face To Face,,,,,,2022,FALSE,,a0F8q000000JDODEA4,TRUE,25,0,,FALSE,,TBC,0019h000001wVUIAA2,,FALSE,a0z9200000038FZAAY,Prescribed Program,Open or Custom Program,Non Award Course - Foundation,32.5,,https://qut360.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00D5g000001FDGjEAO,a
[hed__Program_Plan__c],a0K8q000000aSNJEA2,Modern Chinese Language Course,0128q0000004LGBAA2,The Confucius Institute at QUT is focused exclusively on Chinese language teaching and promotion of Chinese culture.,2023-12-11,FALSE,2022-11-06,Current,,,,FALSE,Certificate of Participation,EXOPWP0608,No,,,,,Blended,,,,,,2023,FALSE,QUT Kelvin Grove & Gardens Point,a0F8q000000JDODEA4,TRUE,20,2,,FALSE,,"The Confucius Institute at QUT (CIQ) offers a range of engaging short courses to promote Modern Chinese (Mandarin) learning, as well as a better understanding of Chinese people and their culture.



The small classes are exciting and innovative, with well-qualified teachers experienced in teaching Chinese language and culture to English speakers.",0019h000001wVSgAAM,,FALSE,a0z9200000038FZAAY,Flexible Program,,Non Award Course - Foundation,22.75,,https://qut360.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00D5g000001FDGjEAO,a
[hed__Program_Plan__c],a0K8q000000XbzYEAS,Test,0128q0000004Kp0AAE,asdas,2023-11-08,FALSE,2022-10-07,Current,20,,,FALSE,Certificate of Achievement,EXCP0600,No,<p>sfd</p>,,cvb,cb,Face To Face,<p>fsdf</p>,<p>sf</p>,,,,2022,FALSE,fsdf,a0F8q000000JDODEA4,TRUE,100,10,,FALSE,<p>ds</p>,asasd,0019h000001wVUIAA2,,TRUE,,Prescribed Program,Award Course,Doctorate by Research,20,,https://qut360.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00D5g000001FDGjEAO,a
[hed__Program_Plan__c],a0K8q000000XcExEAK,Test PWP,0128q0000004LGBAA2,asfd,2023-11-08,FALSE,2022-10-07,Current,,,,FALSE,Certificate of Achievement,EXCPWP0600,No,,,,,Online,,,,,,2022,FALSE,,a0F8q000000JDODEA4,FALSE,,,,FALSE,,sfa,0019h000001wVSgAAM,,FALSE,,Flexible Program,Double Degree,Graduate Diploma - New Area,50,,https://qut360.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00D5g000001FDGjEAO,a
[hed__Program_Plan__c],a0K8q000000huKJEAY,Sime Darby Strategic Leaders Program 2023,0128q0000004Kp0AAE,,2024-05-01,FALSE,2023-04-19,Current,,,,FALSE,Certificate of Participation,EXCP0610,No,,,n/a,,Face To Face,,,,,,2023,FALSE,,a0F8q000000JDODEA4,TRUE,24,0,,FALSE,,t,0019h000001wVUIAA2,,TRUE,a0z9200000038FZAAY,Prescribed Program,Open or Custom Program,Non Award Course - Foundation,,,https://qut360.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00D5g000001FDGjEAO,t
[hed__Program_Plan__c],a0KBn000008JBG5MAO,Enterprise Leadership Program Test7575 1964cb9,0128q0000004Kp0AAE,,2024-04-26,FALSE,2024-03-25,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Flexible Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008JMoDMAW,Enterprise Leadership Program Test7575 3fbca33,0128q0000004Kp0AAE,,2024-04-26,FALSE,2024-03-25,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Flexible Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008JNFdMAO,Enterprise Leadership Program Test7576 c3645b7,0128q0000004Kp0AAE,,2024-04-26,FALSE,2024-03-25,Current,,,,FALSE,Certificate of Participation,,,,Core Concepts b15cc,,,Virtual Classroom,,,Evolve  7c5bc,,,,FALSE,,,FALSE,,,More Details 0076f,FALSE,,Overview 8b5da,,,FALSE,a0z9200000038FZAAY,Flexible Program,,,22,Participants  44838,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description  0ec78
[hed__Program_Plan__c],a0KBn000008JyTjMAK,Enterprise Leadership Program Test7576 e7eedcb,0128q0000004Kp0AAE,,2024-04-26,FALSE,2024-03-26,Current,,,,FALSE,Certificate of Participation,,,,Core Concepts 239d2,,,Virtual Classroom,,,Evolve  ca4f9,,,,FALSE,,,FALSE,,,More Details a9819,FALSE,,Overview b9095,,,FALSE,a0z9200000038FZAAY,Flexible Program,,,22,Participants  8911a,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description  21493
[hed__Program_Plan__c],a0KBn000008K4AvMAK,Automation Testing Plan_687,0128q0000004Kp0AAE,,2024-04-26,FALSE,2024-03-26,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Flexible Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008K4SfMAK,Automation Testing Course_366,0128q0000004Kp0AAE,,2024-04-26,FALSE,2024-03-26,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008KVPdMAO,Automation Testing Plan_187,0128q0000004Kp0AAE,,2024-04-26,FALSE,2024-03-26,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Flexible Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008KVcXMAW,Automation Testing Course_355,0128q0000004Kp0AAE,,2024-04-26,FALSE,2024-03-26,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008JObWMAW,Automation Testing Plan_069,0128q0000004Kp0AAE,,2024-04-26,FALSE,2024-03-25,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Flexible Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008KWX0MAO,Enterprise Leadership Program Test7575 8b62169,0128q0000004Kp0AAE,,2024-04-26,FALSE,2024-03-27,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Flexible Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008KWn7MAG,Enterprise Leadership Program Test7576 0388e66,0128q0000004Kp0AAE,,2024-04-26,FALSE,2024-03-27,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Flexible Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008KddJMAS,Automation Testing Plan_637,0128q0000004Kp0AAE,,2024-04-26,FALSE,2024-03-27,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Flexible Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
