Id,Name,Lead__c,Application_Source__c,Application_Status__c
a1k8r00000EU35FAAT,MCA - 000000037,00Q8r000000o4JlEAI,Studylink,
a1k8r00000EU36rAAD,MCA - 000000038,00Q8r000000ds8bEAA,SAMS,
a1k8r00000EU3BhAAL,MCA - 000000039,00Q8r000000g5PtEAI,SAMS,
a1k8r00000EVdt3AAD,MCA - 000000040,00Q8r000000hkvdEAA,Studylink,
a1k8r00000DobcnAAB,MCA - 000000020,00Q8r000000jvzpEAA,SAMS,Accepted
a1k8r00000DwkXNAAZ,MCA - 000000033,00Q8r000000khA1EAI,Studylink,
a1k8r00000DwkkaAAB,MCA - 000000028,00Q8r000000kgnREAQ,Studylink,Accepted
a1k8r00000DwlezAAB,MCA - 000000021,00Q8r000000keH0EAI,SAMS,Accepted
a1k8r00000DwlhuAAB,MCA - 000000030,00Q8r000000kfudEAA,Studylink,Conditional Offer
a1k8r00000Dwm3BAAR,MCA - 000000022,00Q8r000000kfL7EAI,SAMS,Accepted
a1k8r00000Dwm6PAAR,MCA - 000000023,00Q8r000000kfbFEAQ,SAMS,Accepted
a1k8r00000Dwm9dAAB,MCA - 000000024,00Q8r000000kefCEAQ,SAMS,Accepted
a1k8r00000DwmETAAZ,MCA - 000000025,00Q8r000000kevLEAQ,SAMS,Accepted
a1k8r00000DwqMvAAJ,MCA - 000000026,,SAMS,Accepted
a1k8r00000Dwsa1AAB,MCA - 000000027,,SAMS,Accepted
a1k8r00000DxBmLAAV,MCA - 000000029,00Q8r000000kf3OEAQ,Studylink,Submitted
a1k8r00000DxBpZAAV,MCA - 000000031,00Q8r000000kgSUEAY,Studylink,
a1k8r00000DxBsnAAF,MCA - 000000032,00Q8r000000kh1xEAA,Studylink,
a1k8r00000DxC5hAAF,MCA - 000000034,00Q8r000000khDFEAY,Studylink,
a1k8r00000DxC7JAAV,MCA - 000000035,00Q8r000000kdw2EAA,Studylink,
a1k8r00000DxYuDAAV,MCA - 000000036,00Q8r000000kknqEAA,SAMS,Accepted
