$$Name$ActivityDate,ActivityDate,Description,Id,IsAllDay,IsRecurrence,Name
Good Friday;2025-04-18,2025-04-18,Good Friday,0C09r00000034OsCAI,true,false,Good Friday
Labour Day;2025-05-05,2025-05-05,Labour Day,0C09r00000034OtCAI,true,false,Labour Day
Christmas Day;2024-12-25,2024-12-25,Christmas Day,0C09r00000034a9CAA,true,false,Christmas Day
New Year’s Day;2025-01-01,2025-01-01,New Year’s Day,0C09r00000034blCAA,true,false,New Year’s Day
Australia Day;2025-01-27,2025-01-27,Australia Day,0C09r00000034bmCAA,true,false,Australia Day
Easter Monday;2025-05-21,2025-05-21,Easter Monday,0C09r00000034dNCAQ,true,false,Easter Monday
Anzac Day;2025-04-25,2025-04-25,Anzac Day,0C09r00000034ezCAA,true,false,Anzac Day
Royal Queensland Show (Brisbane area only);2025-08-13,2025-08-13,Royal Queensland Show (Brisbane area only),0C09r00000034gbCAA,true,false,Royal Queensland Show (Brisbane area only)
King’s Birthday;2025-10-06,2025-10-06,King’s Brithday,0C09r00000034iDCAQ,true,false,King’s Birthday
Christmas Day;2025-12-25,2025-12-25,Christmas Day,0C09r00000034jpCAA,true,false,Christmas Day
Boxing Day;2025-12-26,2025-12-26,Boxing Day,0C09r00000034lRCAQ,true,false,Boxing Day
Royal Queensland Show (Brisbane area only);2024-08-14,2024-08-14,Royal Queensland Show (Brisbane area only),0C0Om0000000AvRKAU,true,false,Royal Queensland Show (Brisbane area only)
King’s Birthday;2024-10-07,2024-10-07,King’s Birthday,0C0Om0000000Ax3KAE,true,false,King’s Birthday
Boxing Day;2024-12-26,2024-12-26,Boxing Day,0C0Om0000000B1tKAE,true,false,Boxing Day
