DayOfWeek,EndTime,Id,OperatingHours.Id,OperatingHours.Name,OperatingHoursId,StartTime,TimeSlotNumber
Monday,19:00:00.000Z,0GjBn00000019sTKAQ,0OHBn0000003rivOAA,Business Operating Hours,0OHBn0000003rivOAA,07:00:00.000Z,TS-0246
Monday,12:00:00.000Z,0GjBn00000019u5KAA,0OHBn0000003rkXOAQ,Future Student International Operating Hours,0OHBn0000003rkXOAQ,08:00:00.000Z,TS-0247
Monday,16:00:00.000Z,0GjBn00000019u6KAA,0OHBn0000003rkXOAQ,Future Student International Operating Hours,0OHBn0000003rkXOAQ,13:00:00.000Z,TS-0248
Tuesday,12:00:00.000Z,0GjBn00000019u7KAA,0OHBn0000003rkXOAQ,Future Student International Operating Hours,0OHBn0000003rkXOAQ,08:00:00.000Z,TS-0249
Tuesday,16:00:00.000Z,0GjBn00000019u8KAA,0OHBn0000003rkXOAQ,Future Student International Operating Hours,0OHBn0000003rkXOAQ,13:00:00.000Z,TS-0250
Wednesday,12:00:00.000Z,0GjBn00000019u9KAA,0OHBn0000003rkXOAQ,Future Student International Operating Hours,0OHBn0000003rkXOAQ,08:00:00.000Z,TS-0251
Wednesday,16:00:00.000Z,0GjBn00000019uAKAQ,0OHBn0000003rkXOAQ,Future Student International Operating Hours,0OHBn0000003rkXOAQ,13:00:00.000Z,TS-0252
Thursday,12:00:00.000Z,0GjBn00000019uBKAQ,0OHBn0000003rkXOAQ,Future Student International Operating Hours,0OHBn0000003rkXOAQ,08:00:00.000Z,TS-0253
Thursday,16:00:00.000Z,0GjBn00000019uCKAQ,0OHBn0000003rkXOAQ,Future Student International Operating Hours,0OHBn0000003rkXOAQ,13:00:00.000Z,TS-0254
Friday,12:00:00.000Z,0GjBn00000019uDKAQ,0OHBn0000003rkXOAQ,Future Student International Operating Hours,0OHBn0000003rkXOAQ,08:00:00.000Z,TS-0255
Friday,16:00:00.000Z,0GjBn00000019uEKAQ,0OHBn0000003rkXOAQ,Future Student International Operating Hours,0OHBn0000003rkXOAQ,13:00:00.000Z,TS-0256
Monday,11:00:00.000Z,0GjBn0000001A3lKAE,0OHBn0000003ruDOAQ,Future Student Domestic Operating Hours,0OHBn0000003ruDOAQ,09:30:00.000Z,TS-0310
Monday,12:30:00.000Z,0GjBn0000001A3mKAE,0OHBn0000003ruDOAQ,Future Student Domestic Operating Hours,0OHBn0000003ruDOAQ,11:30:00.000Z,TS-0311
Monday,14:30:00.000Z,0GjBn0000001A3nKAE,0OHBn0000003ruDOAQ,Future Student Domestic Operating Hours,0OHBn0000003ruDOAQ,13:30:00.000Z,TS-0312
Monday,16:30:00.000Z,0GjBn0000001A3oKAE,0OHBn0000003ruDOAQ,Future Student Domestic Operating Hours,0OHBn0000003ruDOAQ,15:00:00.000Z,TS-0313
Tuesday,10:00:00.000Z,0GjBn0000001A3pKAE,0OHBn0000003ruDOAQ,Future Student Domestic Operating Hours,0OHBn0000003ruDOAQ,08:30:00.000Z,TS-0314
Tuesday,12:00:00.000Z,0GjBn0000001A3qKAE,0OHBn0000003ruDOAQ,Future Student Domestic Operating Hours,0OHBn0000003ruDOAQ,10:30:00.000Z,TS-0315
Tuesday,14:00:00.000Z,0GjBn0000001A3rKAE,0OHBn0000003ruDOAQ,Future Student Domestic Operating Hours,0OHBn0000003ruDOAQ,13:00:00.000Z,TS-0316
Tuesday,15:30:00.000Z,0GjBn0000001A3sKAE,0OHBn0000003ruDOAQ,Future Student Domestic Operating Hours,0OHBn0000003ruDOAQ,14:30:00.000Z,TS-0317
Wednesday,12:00:00.000Z,0GjBn0000001A3tKAE,0OHBn0000003ruDOAQ,Future Student Domestic Operating Hours,0OHBn0000003ruDOAQ,10:30:00.000Z,TS-0318
Wednesday,14:00:00.000Z,0GjBn0000001A3uKAE,0OHBn0000003ruDOAQ,Future Student Domestic Operating Hours,0OHBn0000003ruDOAQ,12:30:00.000Z,TS-0319
Wednesday,16:00:00.000Z,0GjBn0000001A3vKAE,0OHBn0000003ruDOAQ,Future Student Domestic Operating Hours,0OHBn0000003ruDOAQ,15:00:00.000Z,TS-0320
Wednesday,17:30:00.000Z,0GjBn0000001A3wKAE,0OHBn0000003ruDOAQ,Future Student Domestic Operating Hours,0OHBn0000003ruDOAQ,16:30:00.000Z,TS-0321
Thursday,10:00:00.000Z,0GjBn0000001A3xKAE,0OHBn0000003ruDOAQ,Future Student Domestic Operating Hours,0OHBn0000003ruDOAQ,08:30:00.000Z,TS-0322
Thursday,12:00:00.000Z,0GjBn0000001A3yKAE,0OHBn0000003ruDOAQ,Future Student Domestic Operating Hours,0OHBn0000003ruDOAQ,10:30:00.000Z,TS-0323
Thursday,14:00:00.000Z,0GjBn0000001A3zKAE,0OHBn0000003ruDOAQ,Future Student Domestic Operating Hours,0OHBn0000003ruDOAQ,13:00:00.000Z,TS-0324
Thursday,15:30:00.000Z,0GjBn0000001A40KAE,0OHBn0000003ruDOAQ,Future Student Domestic Operating Hours,0OHBn0000003ruDOAQ,14:30:00.000Z,TS-0325
Friday,10:00:00.000Z,0GjBn0000001A41KAE,0OHBn0000003ruDOAQ,Future Student Domestic Operating Hours,0OHBn0000003ruDOAQ,08:30:00.000Z,TS-0326
Friday,12:00:00.000Z,0GjBn0000001A42KAE,0OHBn0000003ruDOAQ,Future Student Domestic Operating Hours,0OHBn0000003ruDOAQ,10:30:00.000Z,TS-0327
Friday,14:00:00.000Z,0GjBn0000001A43KAE,0OHBn0000003ruDOAQ,Future Student Domestic Operating Hours,0OHBn0000003ruDOAQ,13:00:00.000Z,TS-0328
Friday,15:30:00.000Z,0GjBn0000001A44KAE,0OHBn0000003ruDOAQ,Future Student Domestic Operating Hours,0OHBn0000003ruDOAQ,14:30:00.000Z,TS-0329
Tuesday,19:00:00.000Z,0GjBn0000001A5NKAU,0OHBn0000003rivOAA,Business Operating Hours,0OHBn0000003rivOAA,07:00:00.000Z,TS-0330
Wednesday,19:00:00.000Z,0GjBn0000001A6zKAE,0OHBn0000003rivOAA,Business Operating Hours,0OHBn0000003rivOAA,07:00:00.000Z,TS-0331
Thursday,19:00:00.000Z,0GjBn0000001A8bKAE,0OHBn0000003rivOAA,Business Operating Hours,0OHBn0000003rivOAA,07:00:00.000Z,TS-0332
Friday,19:00:00.000Z,0GjBn0000001AADKA2,0OHBn0000003rivOAA,Business Operating Hours,0OHBn0000003rivOAA,07:00:00.000Z,TS-0333
