Case_Record_Type__c,Country_Tier__c,Enquiry_Category__c,Enquiry_Sub_Category__c,Lead_Score__c,Future_Student_Stage__c,Date_from__c,Date_to__c,Priority__c,Is_Active__c
International FS Enquiry,,,,,Apply,,,High,TRUE
International FS Enquiry,,My enrolment,,,Apply,,,High,TRUE
International FS Enquiry,Tier 1,,,120,,,,High,TRUE
International FS Enquiry,Tier 2,,,,,,,Medium,TRUE
International FS Enquiry,Tier 3,,,,,,,Medium,TRUE
International FS Enquiry,,,,,Offer,,,High,TRUE
International FS Enquiry,,,"Welcome and orientation events;
Student support",,,,,Medium,TRUE
International FS Enquiry,Tier 1,,,80,,,,High,FALSE
International FS Enquiry,Tier 2,,,75,,,,Medium,FALSE
International FS Enquiry,,,,,,2023-11-01,2023-12-31,High,TRUE
