Country_Name__c,Tier_Category__c,IsActive__c
Afghanistan,Untiered - Unrestricted,TRUE
Åland Islands,Untiered - Unrestricted,TRUE
Albania,Untiered - Unrestricted,TRUE
Algeria,Untiered - Unrestricted,TRUE
American Samoa,Untiered - Unrestricted,TRUE
Andorra,Untiered - Unrestricted,TRUE
Angola,Untiered - Unrestricted,TRUE
Anguilla,Untiered - Unrestricted,TRUE
Antarctica,Untiered - Unrestricted,TRUE
Antigua and Barbuda,Untiered - Unrestricted,TRUE
Argentina,Untiered - Unrestricted,TRUE
Armenia,Untiered - Unrestricted,TRUE
Aruba,Untiered - Unrestricted,TRUE
Australia,Tier 1,TRUE
Austria,Untiered - Unrestricted,TRUE
Azerbaijan,Untiered - Unrestricted,TRUE
Bahamas (the),Untiered - Unrestricted,TRUE
Bahrain,Untiered - Unrestricted,TRUE
Bangladesh,Tier 3,TRUE
Barbados,Untiered - Unrestricted,TRUE
Belarus,Untiered - Unrestricted,TRUE
Belgium,Developed Nations,TRUE
Belize,Untiered - Unrestricted,TRUE
Benin,Untiered - Unrestricted,TRUE
Bermuda,Untiered - Unrestricted,TRUE
Bhutan,Tier 3,TRUE
Bolivia (Plurinational State of),Untiered - Unrestricted,TRUE
"Bonaire, Sint Eustatius and Saba",Untiered - Unrestricted,TRUE
Bosnia and Herzegovina,Untiered - Unrestricted,TRUE
Botswana,Untiered - Unrestricted,TRUE
Bouvet Island,Untiered - Unrestricted,TRUE
Brazil,Tier 3,TRUE
British Indian Ocean Territory (the),Untiered - Unrestricted,TRUE
Brunei Darussalam,Developed Nations,TRUE
Bulgaria,Untiered - Unrestricted,TRUE
Burkina Faso,Untiered - Unrestricted,TRUE
Burundi,Untiered - Unrestricted,TRUE
Cabo Verde,Untiered - Unrestricted,TRUE
Cambodia,Tier 3,TRUE
Cameroon,Untiered - Unrestricted,TRUE
Canada,Tier 3,TRUE
Cayman Islands (the),Untiered - Unrestricted,TRUE
Central African Republic (the),Untiered - Unrestricted,TRUE
Chad,Untiered - Unrestricted,TRUE
Channel Islands,Untiered - Unrestricted,TRUE
Chile,Untiered - Unrestricted,TRUE
China,Tier 1,TRUE
Christmas Island,Untiered - Unrestricted,TRUE
Cocos (Keeling) Islands (the),Untiered - Unrestricted,TRUE
Colombia,Tier 3,TRUE
Comoros (the),Untiered - Unrestricted,TRUE
Congo (the Democratic Republic of the),Untiered - Unrestricted,TRUE
Congo (the),Untiered - Unrestricted,TRUE
Cook Islands (the),Untiered - Unrestricted,TRUE
Costa Rica,Untiered - Unrestricted,TRUE
Côte d'Ivoire,Untiered - Unrestricted,TRUE
Croatia,Untiered - Unrestricted,TRUE
Cuba,Untiered - Unrestricted,TRUE
Curaçao,Untiered - Unrestricted,TRUE
Cyprus,Untiered - Unrestricted,TRUE
Czechia,Untiered - Unrestricted,TRUE
Denmark,Tier 3,TRUE
Djibouti,Untiered - Unrestricted,TRUE
Dominica,Untiered - Unrestricted,TRUE
Dominican Republic (the),Untiered - Unrestricted,TRUE
Ecuador,Untiered - Unrestricted,TRUE
Egypt,Untiered - Unrestricted,TRUE
El Salvador,Untiered - Unrestricted,TRUE
Equatorial Guinea,Untiered - Unrestricted,TRUE
Eritrea,Untiered - Unrestricted,TRUE
Estonia,Untiered - Unrestricted,TRUE
Eswatini,Untiered - Unrestricted,TRUE
Ethiopia,Untiered - Unrestricted,TRUE
Falkland Islands (the) [Malvinas],Untiered - Unrestricted,TRUE
Faroe Islands (the),Untiered - Unrestricted,TRUE
Fiji,Untiered - Unrestricted,TRUE
Finland,Developed Nations,TRUE
France,Developed Nations,TRUE
French Guiana,Untiered - Unrestricted,TRUE
French Polynesia,Untiered - Unrestricted,TRUE
French Southern Territories (the),Untiered - Unrestricted,TRUE
Gabon,Untiered - Unrestricted,TRUE
Gambia (the),Untiered - Unrestricted,TRUE
Georgia,Untiered - Unrestricted,TRUE
Germany,Tier 1,TRUE
Ghana,Untiered - Unrestricted,TRUE
Gibraltar,Untiered - Unrestricted,TRUE
Greece,Untiered - Unrestricted,TRUE
Greenland,Untiered - Unrestricted,TRUE
Grenada,Untiered - Unrestricted,TRUE
Guadeloupe,Untiered - Unrestricted,TRUE
Guam,Untiered - Unrestricted,TRUE
Guatemala,Untiered - Unrestricted,TRUE
Guernsey,Untiered - Unrestricted,TRUE
Guinea,Untiered - Unrestricted,TRUE
Guinea-Bissau,Untiered - Unrestricted,TRUE
Guyana,Untiered - Unrestricted,TRUE
Haiti,Untiered - Unrestricted,TRUE
Heard Island and McDonald Islands,Untiered - Unrestricted,TRUE
Holy See (the),Untiered - Unrestricted,TRUE
Honduras,Untiered - Unrestricted,TRUE
Hong Kong,Tier 1,TRUE
Hungary,Untiered - Unrestricted,TRUE
