__Product Name,IsActive,Pricebook2Id,UnitPrice,Product2Id
Non Award Module,TRUE,01s5g0000014NeIAAU,500,01t9p0000000cJpAAI
Award Unit,TRUE,01s5g0000014NeIAAU,500,01t9p0000000cJqAAI
Activity,TRUE,01s5g0000014NeIAAU,500,01t9p0000000cJrAAI
Professional Advantage,TRUE,01s5g0000014NeIAAU,500,01t9p0000000cJsAAI
Individual Coaching,TRUE,01s5g0000014NeIAAU,500,01t9p0000000cJtAAI
Group Coaching,TRUE,01s5g0000014NeIAAU,500,01t9p0000000cJuAAI
Diagnostic Tools,TRUE,01s5g0000014NeIAAU,500,01t9p0000000cJvAAI
Mentoring,TRUE,01s5g0000014NeIAAU,500,01t9p0000000cJwAAI
Educational Consultancy,TRUE,01s5g0000014NeIAAU,500,01t9p0000000cJxAAI
High Impact Projects,TRUE,01s5g0000014NeIAAU,500,01t9p0000000cJyAAI
Content Development,TRUE,01s5g0000014NeIAAU,500,01t9p0000000cJzAAI
Evaluation,TRUE,01s5g0000014NeIAAU,500,01t9p0000000cK0AAI
Venue,TRUE,01s5g0000014NeIAAU,500,01t9p0000000cK1AAI
Catering,TRUE,01s5g0000014NeIAAU,500,01t9p0000000cK2AAI
Other,TRUE,01s5g0000014NeIAAU,500,01t9p0000000cK3AAI
Non Award Module,TRUE,01s9r00000000hZAAQ,500,01t9p0000000cJpAAI
Award Unit,TRUE,01s9r00000000hZAAQ,500,01t9p0000000cJqAAI
Activity,TRUE,01s9r00000000hZAAQ,500,01t9p0000000cJrAAI
Professional Advantage,TRUE,01s9r00000000hZAAQ,500,01t9p0000000cJsAAI
Individual Coaching,TRUE,01s9r00000000hZAAQ,500,01t9p0000000cJtAAI
Group Coaching,TRUE,01s9r00000000hZAAQ,500,01t9p0000000cJuAAI
Diagnostic Tools,TRUE,01s9r00000000hZAAQ,500,01t9p0000000cJvAAI
Mentoring,TRUE,01s9r00000000hZAAQ,500,01t9p0000000cJwAAI
Educational Consultancy,TRUE,01s9r00000000hZAAQ,500,01t9p0000000cJxAAI
High Impact Projects,TRUE,01s9r00000000hZAAQ,500,01t9p0000000cJyAAI
Content Development,TRUE,01s9r00000000hZAAQ,500,01t9p0000000cJzAAI
Evaluation,TRUE,01s9r00000000hZAAQ,500,01t9p0000000cK0AAI
Venue,TRUE,01s9r00000000hZAAQ,500,01t9p0000000cK1AAI
Catering,TRUE,01s9r00000000hZAAQ,500,01t9p0000000cK2AAI
Other,TRUE,01s9r00000000hZAAQ,500,01t9p0000000cK3AAI
