Name,hed__Active__c,hed__Asynchronous__c,hed__Class__c,hed__Filter_Field__c,hed__Filter_Value__c,hed__Load_Order__c,hed__Object__c,hed__Owned_by_Namespace__c,hed__Trigger_Action__c,hed__User_Managed__c,hed__Usernames_to_Exclude__c
a0T9r0000000421,TRUE,FALSE,ACCT_IndividualAccounts_TDTM,,,1,Contact,hed,AfterInsert;AfterUpdate;AfterDelete,FALSE,
a0T9r0000000422,TRUE,FALSE,RenameLeadConvertedAccounts_TDTM,,,1,Lead,hed,AfterUpdate,FALSE,
a0T9r0000000423,TRUE,FALSE,AFFL_AccChange_TDTM,,,2,Affiliation__c,hed,AfterUpdate,FALSE,
a0T9r0000000424,TRUE,FALSE,AFFL_ContactChange_TDTM,,,2,Affiliation__c,hed,AfterUpdate,FALSE,
a0T9r0000000425,TRUE,FALSE,AFFL_MultiRecordType_TDTM,,,3,Affiliation__c,hed,BeforeInsert;AfterInsert;AfterUpdate;AfterDelete,FALSE,
a0T9r0000000426,TRUE,FALSE,AFFL_AccRecordType_TDTM,,,1,Account,hed,AfterUpdate,FALSE,
a0T9r0000000427,TRUE,FALSE,REL_Relationships_Cm_TDTM,,,1,CampaignMember,hed,AfterInsert;AfterUpdate,FALSE,
a0T9r0000000428,TRUE,FALSE,REL_Relationships_Con_TDTM,,,3,Contact,hed,AfterInsert;AfterUpdate;AfterDelete,FALSE,
a0T9r0000000429,TRUE,FALSE,REL_Relationships_TDTM,,,1,Relationship__c,hed,AfterInsert;AfterUpdate;AfterDelete,FALSE,
a0T9r000000042A,FALSE,FALSE,ADDR_Addresses_TDTM,,,1,Address__c,hed,BeforeInsert;BeforeUpdate;AfterInsert;AfterUpdate;AfterDelete,TRUE,
a0T9r000000042B,FALSE,FALSE,ADDR_Contact_TDTM,,,2,Contact,hed,BeforeInsert;BeforeUpdate;AfterInsert;AfterUpdate,FALSE,
a0T9r000000042C,FALSE,FALSE,ADDR_Account_TDTM,,,1,Account,hed,BeforeInsert;BeforeUpdate;AfterInsert;AfterUpdate,FALSE,
a0T9r000000042D,TRUE,FALSE,CON_DoNotContact_TDTM,,,2,Contact,hed,BeforeInsert;BeforeUpdate,FALSE,
a0T9r000000042E,FALSE,FALSE,CON_Preferred_TDTM,,,3,Contact,hed,BeforeInsert;BeforeUpdate,TRUE,
a0T9r000000042F,FALSE,FALSE,CON_PreferredPhone_TDTM,,,4,Contact,hed,BeforeInsert;BeforeUpdate,TRUE,
a0T9r000000042G,TRUE,FALSE,CON_PrimaryAffls_TDTM,,,4,Contact,hed,AfterInsert;AfterUpdate,FALSE,
a0T9r000000042H,TRUE,FALSE,PREN_Affiliation_TDTM,,,1,Program_Enrollment__c,hed,BeforeInsert;AfterDelete,FALSE,
a0T9r000000042I,TRUE,FALSE,COFF_Affiliation_TDTM,,,1,Course_Offering__c,hed,BeforeDelete;AfterInsert;AfterUpdate,FALSE,
a0T9r000000042J,TRUE,FALSE,THAN_Filter_TDTM,,,1,Trigger_Handler__c,hed,BeforeInsert;BeforeUpdate,FALSE,
a0T9r000000042K,TRUE,FALSE,THAN_ClearCache_TDTM,,,2,Trigger_Handler__c,hed,AfterInsert;AfterUpdate;AfterDelete,FALSE,
